"","year","name","franchise","price","buyer","details","current_pic_url"
"98",1983,"Thunder","Seattle SuperSonics",21,"Barry Ackerley","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png"
"121",1983,"Kings","Kansas City Kings",10.5,"Joseph Benvenuti, Frank Lukenbill, Gregg Lukenbill, Robert A. Cook, Stephen H. Cippa, Frank McCormack","Purchased Team in Kansas City","http://upload.wikimedia.org/wikipedia/en/thumb/6/60/Sacramento_Kings.svg/400px-Sacramento_Kings.svg.png"
"27",1985,"Bulls","Chicago Bulls",9.2,"Jerry Reinsdorf","Purchased 57% of the Team and Later Bought Out Co-owners","http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png"
"44",1985,"Nuggets","Denver Nuggets",20,"Sidney Schlenker & Allen Becker","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"84",1985,"Bucks","Milwaukee Bucks",19,"Herb Kohl","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/en/thumb/2/20/Milwaukee_Bucks.svg/400px-Milwaukee_Bucks.svg.png"
"136",1985,"Jazz","Utah Jazz",8,"Larry Miller & Sam Battistone","Transfer of 1/2 Ownership","http://upload.wikimedia.org/wikipedia/en/thumb/5/53/Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg/400px-Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg.png"
"9",1986,"Celtics","Boston Celtics",120,"Don Gaston","Bought Out Co-owners","http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png"
"133",1986,"Jazz","Utah Jazz",14,"Larry Miller","Purchased the Remaining 50%","http://upload.wikimedia.org/wikipedia/en/thumb/5/53/Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg/400px-Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg.png"
"111",1987,"Suns","Phoenix Suns",44.5,"Jerry Colangelo","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Phoenix_Suns.svg/400px-Phoenix_Suns.svg.png"
"117",1988,"Trail Blazers","Portland Trail Blazers",70,"Paul Allen","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Portland_Trail_Blazers.svg/205px-Portland_Trail_Blazers.svg.png"
"127",1988,"Spurs","San Antonio Spurs",32.5,"Red  McCombs","Purchased 65% (to 100%) of Team","http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/250px-San_Antonio_Spurs.svg.png"
"43",1989,"Nuggets","Denver Nuggets",45,"Comsat Video Enterprises","Purchases 67.5% Stake in Team","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"81",1989,"Heat","Miami Heat",32.5,"Billy Cunningham, Lewis Schaffel & Ted Arison","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png"
"86",1989,"Timberwolves","Minnesota Timberwolves",32.5,"Marv Wolfenson, Harvey Ratner","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Minnesota_Timberwolves.svg/400px-Minnesota_Timberwolves.svg.png"
"89",1989,"Pelicans","Charlotte Hornets",32.5,"George Shinn","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/2/21/New_Orleans_Pelicans.png"
"104",1989,"Magic","Orlando Magic",32.5,"William duPont III, James & Robert Hewitt, Pat Williams","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/9/96/OrlandoMagicNewLogo.gif/400px-OrlandoMagicNewLogo.gif"
"102",1991,"Magic","Orlando Magic",85,"Richard DeVos","Purchased the Franchise","http://upload.wikimedia.org/wikipedia/en/thumb/9/96/OrlandoMagicNewLogo.gif/400px-OrlandoMagicNewLogo.gif"
"41",1992,"Nuggets","Denver Nuggets",70,"Comsat Video","Bought Out Co-owners, Raised Share to 100%","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"51",1992,"Warriors","Golden State Warriors",21,"Christopher Cohan","Purchased 25%","http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png"
