year,team,year_sold,month_sold,date,franchise,current_pic_url,name,team_id,colors,buyer,expansion,arena_included,details,price,price_2014_dollars,price_change,franchise_url,current_franchiseurl,price_previous,conference,division,location,arena,team_founding_year,year_joined_nba,color,decade
1958,Los Angeles Lakers,1958,8,1958.8,Minneapolis Lakers,http://content.sportslogos.net/logos/6/245/full/5537.gif,Lakers,LAL,"Purple, Gold, White",Bob Short,No,No,Become 80% Owner of the Team By Buying Out His Partners,0,0,-150000,wikipedia.org/wiki/Minneapolis_Lakers,wikipedia.org/wiki/Los_Angeles_Lakers,150000,Western,Pacific,"Los Angeles, CA",Staples Center,1947,1948,#4A2583,1950s
1962,Golden State Warriors,1962,8,1962.8,San Francisco Warriors,http://content.sportslogos.net/logos/6/1429/full/5972.gif,Warriors,GSW,"Blue, Gold, Yellow",Franklin Mieuli Led Group of 32 Local Investors,No,No,Purchased Team and Moved It to Bay Area,850000,6627007.701,825000,wikipedia.org/wiki/San_Francisco_Warriors,wikipedia.org/wiki/Golden_State_Warriors,25000,Western,Pacific,"Oakland, CA",Oracle Arena,1946,1946,#FFCC33,1960s
1963,Philadelphia 76ers,1963,9,1963.9,Syracuse Nationals,http://content.sportslogos.net/logos/6/250/full/4600.gif,Sixers,PHL,"Red, Blue, White",Irving S. Kosloff,No,No,Purchased the Syracuse Nationals and Brought them to Philadelphia,0,0,0,wikipedia.org/wiki/Syracuse_Nationals,wikipedia.org/wiki/Philadelphia_76ers,0,Eastern,Atlantic,"Philadelphia, PA",Wells Fargo Center,1946,1949,#d0103a,1960s
1964,Washington Wizards,1964,8,1964.8,Baltimore Bullets,http://content.sportslogos.net/logos/6/589/full/5994.gif,Wizards,WAS,"Red, White, Navy, Silver",Bob Trager,No,No,Sold Team,1100000,8364484.979,0,wikipedia.org/wiki/Baltimore_Bullets,wikipedia.org/wiki/Washington_Wizards,1100000,Eastern,Southeast,"Washington, D.C.",Verizon Center,1961,1961,#C60C30,1960s
1964,Washington Wizards,1964,1,1964.1,Baltimore Bullets,http://content.sportslogos.net/logos/6/589/full/5994.gif,Wizards,WAS,"Red, White, Navy, Silver","Abe Pollin, Arnold Heft, Earl Foreman",Yes,No,Purchased Team,1100000,8364484.979,0,wikipedia.org/wiki/Baltimore_Bullets,wikipedia.org/wiki/Washington_Wizards,1100000,Eastern,Southeast,"Washington, D.C.",Verizon Center,1961,1961,#C60C30,1960s
1964,Boston Celtics,1964,1,1964.1,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/5864.gif,Celtics,BOS,"Green, White, Black",Lou Pieri &  Marjorie Brown,No,No,"Founder Died, Wife Took Over",0,0,-3000,wikipedia.org/wiki/Boston_Celtics,wikipedia.org/wiki/Boston_Celtics,3000,Eastern,Atlantic,"Boston, MA",TD Garden,1946,1946,#009E60,1960s
1965,Los Angeles Lakers,1965,9,1965.9,Los Angeles Lakers,http://content.sportslogos.net/logos/6/237/full/erj0m2f35x8mna03t78efb5bl.gif,Lakers,LAL,"Purple, Gold, White",Jack Kent Cooke,No,No,Purchased Team,5175000,38727798.31,5025000,wikipedia.org/wiki/Los_Angeles_Lakers,wikipedia.org/wiki/Los_Angeles_Lakers,150000,Western,Pacific,"Los Angeles, CA",Staples Center,1947,1948,#4A2583,1960s
1965,Boston Celtics,1965,8,1965.8,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/5864.gif,Celtics,BOS,"Green, White, Black",Marvin Kratter,No,No,Purchased Team,3000000,22450897.57,2997000,wikipedia.org/wiki/Boston_Celtics,wikipedia.org/wiki/Boston_Celtics,3000,Eastern,Atlantic,"Boston, MA",TD Garden,1946,1946,#009E60,1960s
1966,Sacramento Kings,1966,5,1966.5,Cincinnati Royals,http://content.sportslogos.net/logos/6/247/full/5379.png,Kings,SAC,"Purple, Black, Silver, White",Max & Jeremy Jacobs,No,No,Transfer of Ownership,0,0,0,wikipedia.org/wiki/Cincinnati_Royals,wikipedia.org/wiki/Sacramento_Kings,0,Western,Pacific,"Sacramento, CA",Sleep Train Arena,1923,1948,#753BBD,1960s
1966,Chicago Bulls,1966,1,1966.1,Chicago Bulls,http://content.sportslogos.net/logos/6/221/full/hj3gmh82w9hffmeh3fjm5h874.gif,Bulls,CHI,"Red, Black, White",Dick Klein,Yes,No,Awarded An NBA Expansion Franchise,1600000,11629948.72,0,wikipedia.org/wiki/Chicago_Bulls,wikipedia.org/wiki/Chicago_Bulls,1600000,Eastern,Central,"Chicago, IL",United Center,1966,1966,#D4001F,1960s
1967,Denver Nuggets,1967,12,1967.12,Denver Rockets,http://content.sportslogos.net/logos/18/1127/full/5210.gif,Nuggets,DEN,"Light Blue, Gold, Navy",Bill Ringsby,No,No,Bought 2/3 Controlling Interest,170000,1202385.23,135000,wikipedia.org/wiki/Denver_Rockets,wikipedia.org/wiki/Denver_Nuggets,35000,Western,Northwest,"Denver, CO",Pepsi Center,1967,1976,#4b90cd,1960s
1967,San Antonio Spurs,1967,1,1967.1,Dallas Chaparrals,http://content.sportslogos.net/logos/18/273/full/4722.gif,Spurs,SAS,"Black, Silver, White",Dallas ownership group,No,No,Created Dallas Chaparrals,0,0,0,wikipedia.org/wiki/Dallas_Chaparrals,wikipedia.org/wiki/San_Antonio_Spurs,0,Western,Southwest,"San Antonio, TX",AT&T Center,1967,1976,#BEC8C9,1960s
1967,Brooklyn Nets,1967,1,1967.1,New Jersey Americans,http://sportsecyclopedia.com/aba/NewJerseyAmericans.gif,Nets,BKN,"Black, White",Arthur Brown,Yes,No,ABA Franchise Fee,0,0,0,wikipedia.org/wiki/New_Jersey_Americans,wikipedia.org/wiki/Brooklyn_Nets,0,Eastern,Atlantic,"Brooklyn, NY",Barclays Center,1967,1976,#000000,1960s
1967,Denver Nuggets,1967,1,1967.1,Denver Rockets,http://content.sportslogos.net/logos/18/1127/full/5210.gif,Nuggets,DEN,"Light Blue, Gold, Navy",James Trindle,Yes,No,Created a Team in ABA,35000,247549.9002,0,wikipedia.org/wiki/Denver_Rockets,wikipedia.org/wiki/Denver_Nuggets,35000,Western,Northwest,"Denver, CO",Pepsi Center,1967,1976,#4b90cd,1960s
1967,Oklahoma City Thunder,1967,8,1967.8,Seattle SuperSonics,http://upload.wikimedia.org/wikipedia/en/a/a2/Seattle-Supersonics-logo-1975-1995.jpg,Thunder,OKC,"Blue, Yellow, Navy, White",Sam Schulman,Yes,No,Expansion Fee,1750000,12377495.01,0,wikipedia.org/wiki/Seattle_SuperSonics,wikipedia.org/wiki/Oklahoma_City_Thunder,1750000,Western,Northwest,"Oklahoma City, OK",Chesapeake Energy Arena,1967,1967,#007DC3,1960s
1967,Houston Rockets,1967,8,1967.8,San Diego Rockets,http://content.sportslogos.net/logos/6/252/full/4788.gif,Rockets,HOU,"Red, White, Silver",Robert Breitbard,Yes,No,Expansion Fee,1750000,12377495.01,0,wikipedia.org/wiki/San_Diego_Rockets,wikipedia.org/wiki/Houston_Rockets,1750000,Western,Southwest,"Houston, TX",Toyota Center,1967,1967,#ce1138,1960s
1967,Indiana Pacers,1967,1,1967.1,Indiana Pacers,http://content.sportslogos.net/logos/18/277/full/5219.gif,Pacers,IND,"Navy, Gold, Silver, White","Richard Tinkham, John DeVoe, Chuck DeVoe, Chuck Barnes, Bob Collins",No,No,Purchase a Franchise in ABA,0,0,0,wikipedia.org/wiki/Indiana_Pacers,wikipedia.org/wiki/Indiana_Pacers,0,Eastern,Central,"Indianapolis, IN",Bankers Life Fieldhouse,1967,1976,#ffc322,1960s
1968,Boston Celtics,1968,5,1968.5,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/5865.gif,Celtics,BOS,"Green, White, Black",Ballantine Brewery,No,No,"Bought Team, Trans-national Communications Became Temporary Owners in 1970",6000000,40690909.09,3000000,wikipedia.org/wiki/Boston_Celtics,wikipedia.org/wiki/Boston_Celtics,3000000,Eastern,Atlantic,"Boston, MA",TD Garden,1946,1946,#009E60,1960s
1968,Milwaukee Bucks,1968,8,1968.8,Milwaukee Bucks,http://content.sportslogos.net/logos/6/225/full/5318.gif,Bucks,MIL,"Green, Red, Silver, White",Wes Pavalon,Yes,No,Expansion Fee,2000000,13563636.36,0,wikipedia.org/wiki/Milwaukee_Bucks,wikipedia.org/wiki/Milwaukee_Bucks,2000000,Eastern,Central,"Milwaukee, WI",BMO Harris Bradley Center,1968,1968,#003614,1960s
1968,Atlanta Hawks,1968,5,1968.5,Atlanta Hawks,http://content.sportslogos.net/logos/6/220/full/5662.gif,Hawks,ATL,"Navy, Red, Silver",Tom Cousins & Carl Sanders,No,No,Bought the St. Louis Hawks and Moved to Atlanta,2000000,13563636.36,2000000,wikipedia.org/wiki/Atlanta_Hawks,wikipedia.org/wiki/Atlanta_Hawks,0,Eastern,Southeast,"Atlanta, GA",Philips Arena,1946,1949,#ff0000,1960s
1968,Washington Wizards,1968,7,1968.7,Baltimore Bullets,http://content.sportslogos.net/logos/6/589/full/5601.gif,Wizards,WAS,"Red, White, Navy, Silver",Abe Pollin,No,No,Became Sole Owner,0,0,-1100000,wikipedia.org/wiki/Baltimore_Bullets,wikipedia.org/wiki/Washington_Wizards,1100000,Eastern,Southeast,"Washington, D.C.",Verizon Center,1961,1961,#C60C30,1960s
1969,Phoenix Suns,1969,8,1969.8,Phoenix Suns,http://content.sportslogos.net/logos/6/238/full/5329.gif,Suns,PHX,"Purple, Orange, Black","Richard Bloch & Karl Eller, Don Pitt, Don Diamond, Bhavik Darji, Marvin Meyer",Yes,No,Expansion Fee,2000000,12862068.97,0,wikipedia.org/wiki/Phoenix_Suns,wikipedia.org/wiki/Phoenix_Suns,2000000,Western,Pacific,"Phoenix, AZ",US Airways Center,1968,1968,#e65f20,1960s
1970,Brooklyn Nets,1970,5,1970.5,New York Nets,http://content.sportslogos.net/logos/18/278/full/5221.gif,Nets,BKN,"Black, White",Roy Boe,No,No,Transfer of Ownership,1100000,6680119.966,1100000,wikipedia.org/wiki/New_York_Nets,wikipedia.org/wiki/Brooklyn_Nets,0,Eastern,Atlantic,"Brooklyn, NY",Barclays Center,1967,1976,#000000,1970s
1971,Los Angeles Clippers,1971,5,1971.5,Buffalo Braves,http://content.sportslogos.net/logos/6/253/full/5450.gif,Clippers,LAC,"Red, Blue, White",Paul Snyder,Yes,No,Expansion Fee,3700000,21546343.47,0,wikipedia.org/wiki/Buffalo_Braves,wikipedia.org/wiki/Los_Angeles_Clippers,3700000,Western,Pacific,"Los Angeles, CA",Staples Center,1970,1970,#EE2944,1970s
1971,Houston Rockets,1971,6,1971.6,San Diego Rockets,http://content.sportslogos.net/logos/6/252/full/4788.gif,Rockets,HOU,"Red, White, Silver","Billy Goldberg, Wayne Duddlesten, Mickey Herskowitz",No,No,Purchased Team,5600000,32610682,3850000,wikipedia.org/wiki/San_Diego_Rockets,wikipedia.org/wiki/Houston_Rockets,1750000,Western,Southwest,"Houston, TX",Toyota Center,1967,1967,#ce1138,1970s
1971,Portland Trail Blazers,1971,8,1971.8,Portland Trail Blazers,http://content.sportslogos.net/logos/6/239/full/tqua25fagb2dggsfddbbiigh3.gif,Trail Blazers,POR,"Red, Silver, Black, White","Larry Weinberg, Herman Sarkowsky, Robert Schmertz",Yes,No,Expansion Fee,3700000,21546343.47,0,wikipedia.org/wiki/Portland_Trail_Blazers,wikipedia.org/wiki/Portland_Trail_Blazers,3700000,Western,Northwest,"Portland, OR",Moda Center,1970,1970,#F0163A,1970s
1971,Cleveland Cavaliers,1971,8,1971.8,Cleveland Cavaliers,http://content.sportslogos.net/logos/6/222/full/fh4wdzfefsmfcaxut0absohlk.gif,Cavaliers,CLE,"Red, Gold, Navy",Nick Mileti & others,Yes,No,Expansion Fee,3700000,21546343.47,0,wikipedia.org/wiki/Cleveland_Cavaliers,wikipedia.org/wiki/Cleveland_Cavaliers,3700000,Eastern,Central,"Cleveland, OH",Quicken Loans Arena,1970,1970,#FFD700,1970s
1972,Denver Nuggets,1972,12,1972.12,Denver Rockets,http://content.sportslogos.net/logos/18/1127/full/5211.gif,Nuggets,DEN,"Light Blue, Gold, Navy",Frank Goldberg & Bud Fischer,No,No,Purchased Team,0,0,-170000,wikipedia.org/wiki/Denver_Rockets,wikipedia.org/wiki/Denver_Nuggets,170000,Western,Northwest,"Denver, CO",Pepsi Center,1967,1976,#4b90cd,1970s
1972,Boston Celtics,1972,4,1972.4,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/5865.gif,Celtics,BOS,"Green, White, Black",Robert Schmertz,No,No,"Forced Transaction, Sale to Irv Levin, Harold Lipton Not Approved By NBA Due to Conlfict of Interest",4000000,22552108.19,-2000000,wikipedia.org/wiki/Boston_Celtics,wikipedia.org/wiki/Boston_Celtics,6000000,Eastern,Atlantic,"Boston, MA",TD Garden,1946,1946,#009E60,1970s
1972,Chicago Bulls,1972,7,1972.7,Chicago Bulls,http://content.sportslogos.net/logos/6/221/full/hj3gmh82w9hffmeh3fjm5h874.gif,Bulls,CHI,"Red, Black, White",Arthur Wirtz Led Ownership Group,No,No,Purchased Team,5100000,28753937.95,3500000,wikipedia.org/wiki/Chicago_Bulls,wikipedia.org/wiki/Chicago_Bulls,1600000,Eastern,Central,"Chicago, IL",United Center,1966,1966,#D4001F,1970s
1973,Houston Rockets,1973,2,1973.2,Houston Rockets,http://content.sportslogos.net/logos/6/230/full/eigv3ra8cjkojrywrgcvy6z29.gif,Rockets,HOU,"Red, White, Silver",Irvin Kaplan,No,No,Bought Team,0,0,-5600000,wikipedia.org/wiki/Houston_Rockets,wikipedia.org/wiki/Houston_Rockets,5600000,Western,Southwest,"Houston, TX",Toyota Center,1967,1967,#ce1138,1970s
1973,San Antonio Spurs,1973,4,1973.4,Dallas Chaparrals,http://content.sportslogos.net/logos/18/273/full/4723.gif,Spurs,SAS,"Black, Silver, White","Angelo Drossos, John Schaefer & Red McCombs led Group of 36 San Antonio businessmen",No,No,Lease Deal With An Option to Buy Within 3 Years,0,0,0,wikipedia.org/wiki/Dallas_Chaparrals,wikipedia.org/wiki/San_Antonio_Spurs,0,Western,Southwest,"San Antonio, TX",AT&T Center,1967,1976,#BEC8C9,1970s
1973,Portland Trail Blazers,1973,5,1973.5,Portland Trail Blazers,http://content.sportslogos.net/logos/6/239/full/tqua25fagb2dggsfddbbiigh3.gif,Trail Blazers,POR,"Red, Silver, Black, White","Larry Weinberg, Herman Sarkowsky",No,No,Bought Out Schmertz,0,0,-3700000,wikipedia.org/wiki/Portland_Trail_Blazers,wikipedia.org/wiki/Portland_Trail_Blazers,3700000,Western,Northwest,"Portland, OR",Moda Center,1970,1970,#F0163A,1970s
1974,Utah Jazz,1974,5,1974.5,New Orleans Jazz,http://content.sportslogos.net/logos/6/255/full/5776.gif,Jazz,UTA,"Navy, Yellow, Green, Grey", Fred Rosenfield Led Investor Group of 9,Yes,No,Expansion Fee,6150000,29409615.38,0,wikipedia.org/wiki/New_Orleans_Jazz,wikipedia.org/wiki/Utah_Jazz,6150000,Western,Northwest,"Salt Lake City, UT",EnergySolutions Arena,1974,1974,#0D4006,1970s
1974,Detroit Pistons,1974,7,1974.7,Detroit Pistons,http://content.sportslogos.net/logos/6/223/full/4956.gif,Pistons,DET,"White, Blue, Red",William Davidson,No,No,Purchased Team,8000000,38256410.26,8000000,wikipedia.org/wiki/Detroit_Pistons,wikipedia.org/wiki/Detroit_Pistons,0,Eastern,Central,"Auburn Hills, MI",The Palace of Auburn Hills,1941,1948,#EB003C,1970s
1974,Portland Trail Blazers,1974,6,1974.6,Portland Trail Blazers,http://content.sportslogos.net/logos/6/239/full/tqua25fagb2dggsfddbbiigh3.gif,Trail Blazers,POR,"Red, Silver, Black, White",Larry Weinberg,No,No,Purchased the Remainder of Stake,0,0,-3700000,wikipedia.org/wiki/Portland_Trail_Blazers,wikipedia.org/wiki/Portland_Trail_Blazers,3700000,Western,Northwest,"Portland, OR",Moda Center,1970,1970,#F0163A,1970s
1975,Boston Celtics,1975,7,1975.7,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/5865.gif,Celtics,BOS,"Green, White, Black",Irv Levin & Harold Lipton,No,No,Exercised their Option to Repurchase Half of the Celtics Stock and Month Later Bought the Rest,0,0,-4000000,wikipedia.org/wiki/Boston_Celtics,wikipedia.org/wiki/Boston_Celtics,4000000,Eastern,Atlantic,"Boston, MA",TD Garden,1946,1946,#009E60,1970s
1975,Houston Rockets,1975,2,1975.2,Houston Rockets,http://content.sportslogos.net/logos/6/230/full/eigv3ra8cjkojrywrgcvy6z29.gif,Rockets,HOU,"Red, White, Silver",James Talcott,No,No,Purchased Team,0,0,-5600000,wikipedia.org/wiki/Houston_Rockets,wikipedia.org/wiki/Houston_Rockets,5600000,Western,Southwest,"Houston, TX",Toyota Center,1967,1967,#ce1138,1970s
1976,San Antonio Spurs,1976,5,1976.5,San Antonio Spurs,http://content.sportslogos.net/logos/6/233/full/4719.gif,Spurs,SAS,"Black, Silver, White","Angelo Drossos, John Schaefer & Red McCombs Led Group of 36 San Antonio businessmen",Yes,No,Entering Price When ABA Disbands,3200000,13262222.22,3200000,wikipedia.org/wiki/San_Antonio_Spurs,wikipedia.org/wiki/San_Antonio_Spurs,0,Western,Southwest,"San Antonio, TX",AT&T Center,1967,1976,#BEC8C9,1970s
1976,Philadelphia 76ers,1976,1,1976.1,Philadelphia 76ers,http://content.sportslogos.net/logos/6/218/full/b63l7nnxd3bl0cxemi3qahbbp.gif,Sixers,PHL,"Red, Blue, White",Fitz Dixon,No,No,Purchased Team,8000000,33155555.56,8000000,wikipedia.org/wiki/Philadelphia_76ers,wikipedia.org/wiki/Philadelphia_76ers,0,Eastern,Atlantic,"Philadelphia, PA",Wells Fargo Center,1946,1949,#d0103a,1970s
1976,Los Angeles Clippers,1976,6,1976.6,Buffalo Braves,http://www.logotypes101.com/logos/764/F32C6BFFB670A58DB9466654FABE9E52/Buffalo_Braves.png,Clippers,LAC,"Red, Blue, White","John Y. Brown, Jr.",No,No,"Bought 50% of the Franchise, Later Remaining Half and Added Minority Owner",0,0,-3700000,wikipedia.org/wiki/Buffalo_Braves,wikipedia.org/wiki/Los_Angeles_Clippers,3700000,Western,Pacific,"Los Angeles, CA",Staples Center,1970,1970,#EE2944,1970s
1976,Milwaukee Bucks,1976,5,1976.5,Milwaukee Bucks,http://content.sportslogos.net/logos/6/225/full/5318.gif,Bucks,MIL,"Green, Red, Silver, White",Jim Fitzgerald,No,No,Transfer of Ownership,0,0,-2000000,wikipedia.org/wiki/Milwaukee_Bucks,wikipedia.org/wiki/Milwaukee_Bucks,2000000,Eastern,Central,"Milwaukee, WI",BMO Harris Bradley Center,1968,1968,#003614,1970s
1976,Houston Rockets,1976,8,1976.8,Houston Rockets,http://content.sportslogos.net/logos/6/230/full/eigv3ra8cjkojrywrgcvy6z29.gif,Rockets,HOU,"Red, White, Silver",Kenneth Schnitzer,No,No,Bought Team,0,0,-5600000,wikipedia.org/wiki/Houston_Rockets,wikipedia.org/wiki/Houston_Rockets,5600000,Western,Southwest,"Houston, TX",Toyota Center,1967,1967,#ce1138,1970s
1976,Denver Nuggets,1976,8,1976.8,Denver Nuggets,http://content.sportslogos.net/logos/6/229/full/5991.gif,Nuggets,DEN,"Light Blue, Gold, Navy",Carl Scheer Led Investor Group,Yes,No,Entering Price When ABA Disbands,1000000,4144444.444,830000,wikipedia.org/wiki/Denver_Nuggets,wikipedia.org/wiki/Denver_Nuggets,170000,Western,Northwest,"Denver, CO",Pepsi Center,1967,1976,#4b90cd,1970s
1976,Indiana Pacers,1976,8,1976.8,Indiana Pacers,http://content.sportslogos.net/logos/6/224/full/nrv5bijg56ha3h4f0fvet8aft.gif,Pacers,IND,"Navy, Gold, Silver, White",Tom Binford & five others,Yes,No,Entering Price When ABA Disbands,3200000,13262222.22,3200000,wikipedia.org/wiki/Indiana_Pacers,wikipedia.org/wiki/Indiana_Pacers,0,Eastern,Central,"Indianapolis, IN",Bankers Life Fieldhouse,1967,1976,#ffc322,1970s
1977,Atlanta Hawks,1977,5,1977.5,Atlanta Hawks,http://content.sportslogos.net/logos/6/220/full/au67znem99jyg6d7esach62e4.gif,Hawks,ATL,"Navy, Red, Silver",Ted Turner,No,No,Bought 95% of Team,0,0,-2000000,wikipedia.org/wiki/Atlanta_Hawks,wikipedia.org/wiki/Atlanta_Hawks,2000000,Eastern,Southeast,"Atlanta, GA",Philips Arena,1946,1949,#ff0000,1970s
1977,New York Knicks,1977,1,1977.1,New York Knicks,http://content.sportslogos.net/logos/6/216/full/uqtgw9qh14n3fjdhvycpgbz79.gif,Knicks,NYK,"Blue, Orange, Silver",Gulf+Western (Paramount),No,No,Purchased Team,0,0,0,wikipedia.org/wiki/New_York_Knicks,wikipedia.org/wiki/New_York_Knicks,0,Eastern,Atlantic,"New York City, NY",Madison Square Garden,1946,1946,#FF7518,1970s
1977,Utah Jazz,1977,12,1977.12,New Orleans Jazz,http://content.sportslogos.net/logos/6/255/full/5776.gif,Jazz,UTA,"Navy, Yellow, Green, Grey","Lee Schlesinger, Mark Herman",No,No,Purchased 30% of Team,0,0,-6150000,wikipedia.org/wiki/New_Orleans_Jazz,wikipedia.org/wiki/Utah_Jazz,6150000,Western,Northwest,"Salt Lake City, UT",EnergySolutions Arena,1974,1974,#0D4006,1970s
1977,Utah Jazz,1977,1,1977.1,New Orleans Jazz,http://content.sportslogos.net/logos/6/255/full/5776.gif,Jazz,UTA,"Navy, Yellow, Green, Grey",Andrew Martin,No,No,Sold 20% of Ownership to Team Majority Owners,0,0,-6150000,wikipedia.org/wiki/New_Orleans_Jazz,wikipedia.org/wiki/Utah_Jazz,6150000,Western,Northwest,"Salt Lake City, UT",EnergySolutions Arena,1974,1974,#0D4006,1970s
1978,Boston Celtics,1978,4,1978.4,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/pphdqx7bfbbbumpehh7telq1h.gif,Celtics,BOS,"Green, White, Black","John Y. Brown, Jr. & Harry T. Mangurian, Jr.",No,No,Swapped their Clippers Shares With Previous Owners,0,0,-4000000,wikipedia.org/wiki/Boston_Celtics,wikipedia.org/wiki/Boston_Celtics,4000000,Eastern,Atlantic,"Boston, MA",TD Garden,1946,1946,#009E60,1970s
1978,Brooklyn Nets,1978,8,1978.8,New Jersey Nets,http://content.sportslogos.net/logos/6/215/full/5995.gif,Nets,BKN,"Black, White","Joe Taub & Alan N. Cohen Led Investor Group (The ""New Jersey 7"")",No,No,Purchased Team,0,0,-1100000,wikipedia.org/wiki/New_Jersey_Nets,wikipedia.org/wiki/Brooklyn_Nets,1100000,Eastern,Atlantic,"Brooklyn, NY",Barclays Center,1967,1976,#000000,1970s
1978,Los Angeles Clippers,1978,4,1978.4,San Diego Clippers,http://content.sportslogos.net/logos/6/254/full/5452.gif,Clippers,LAC,"Red, Blue, White",Irv Levin & Harold A. Lipton,No,No,Share Swap With Previous Owners,0,0,-3700000,wikipedia.org/wiki/San_Diego_Clippers,wikipedia.org/wiki/Los_Angeles_Clippers,3700000,Western,Pacific,"Los Angeles, CA",Staples Center,1970,1970,#EE2944,1970s
