name,franchise,startDate,endDate
Raptors,Toronto Raptors,1996,1996
Raptors,Toronto Raptors,1996,1996
Raptors,Toronto Raptors,1996,1998
Raptors,Toronto Raptors,1998,2014
Rockets,San Diego Rockets,1967,1971
Rockets,San Diego Rockets,1971,1973
Rockets,Houston Rockets,1973,1975
Rockets,Houston Rockets,1975,1976
Rockets,Houston Rockets,1976,1979
Rockets,Houston Rockets,1979,1982
Rockets,Houston Rockets,1982,1993
Rockets,Houston Rockets,1993,2014
Sixers,Syracuse Nationals,1947,1963
Sixers,Syracuse Nationals,1963,1976
Sixers,Philadelphia 76ers,1976,1981
Sixers,Philadelphia 76ers,1981,1996
Sixers,Philadelphia 76ers,1996,2011
Sixers,Philadelphia 76ers,2011,2014
Spurs,Dallas Chaparrals,1968,1973
Spurs,Dallas Chaparrals,1973,1976
Spurs,San Antonio Spurs,1976,1988
Spurs,San Antonio Spurs,1988,1993
Spurs,San Antonio Spurs,1993,2014
Suns,Phoenix Suns,1969,1987
Suns,Phoenix Suns,1987,2004
Suns,Phoenix Suns,2004,2014
Thunder,Seattle SuperSonics,1967,1983
Thunder,Seattle SuperSonics,1983,2001
Thunder,Seattle SuperSonics,2001,2006
Thunder,Oklahoma City Thunder,2006,2014
Timberwolves,Minnesota Timberwolves,1989,1995
Timberwolves,Minnesota Timberwolves,1995,2014
Trail Blazers,Portland Trail Blazers,1971,1973
Trail Blazers,Portland Trail Blazers,1973,1974
Trail Blazers,Portland Trail Blazers,1974,1988
Trail Blazers,Portland Trail Blazers,1988,2014
Warriors,Philadelphia Warriors,1946,1951
Warriors,Philadelphia Warriors,1951,1962
Warriors,San Francisco Warriors,1962,1986
Warriors,Golden State Warriors,1986,1992
Warriors,Golden State Warriors,1992,1995
Warriors,Golden State Warriors,1995,2010
Warriors,Golden State Warriors,2010,2014
Wizards,Baltimore Bullets,1964,1964
Wizards,Baltimore Bullets,1964,1968
Wizards,Baltimore Bullets,1968,2010
Wizards,Washington Wizards,2010,2014
