"year","volume","transactions","value_min","value_mean","value_max","value_cumulative","share_historic_volume","detail","league"
1950,0.15,1,0.15,0.15,0.15,1.507155,9.95252644883904,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1950 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.15<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.15<br /><strong>Minimum Valuation (m):</strong> $0.15<br /><strong>Maximum Valuation (m):</strong> $0.15<br /><strong>Cumulative Sales Volume (m):</strong> $1.51</span></span></td></tr></tbody></table></html>","NFL"
1951,0.05,1,0.05,0.05,0.05,1.557155,3.21098413452739,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1951 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.05<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.05<br /><strong>Minimum Valuation (m):</strong> $0.05<br /><strong>Maximum Valuation (m):</strong> $0.05<br /><strong>Cumulative Sales Volume (m):</strong> $1.56</span></span></td></tr></tbody></table></html>","NFL"
1951,0.025,1,0.025,0.025,0.025,0.043,58.1395348837209,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1951 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://www.scuygo.com/images/nba.png width='200' heigh='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.025<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.025<br /><strong>Minimum Valuation (m):</strong> $0.025<br /><strong>Maximum Valuation (m):</strong> $0.025<br /><strong>Cumulative Sales Volume (m):</strong> $0.043</span></span></td></tr></tbody></table></html>","NBA"
1952,0.4,2,0.1,0.2,0.3,1.957155,20.4378294003285,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1952 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.4<br /><strong>Transactions:</strong> 2<br /><strong>Mean Valuation (m):</strong> $0.2<br /><strong>Minimum Valuation (m):</strong> $0.3<br /><strong>Maximum Valuation (m):</strong> $0.1<br /><strong>Cumulative Sales Volume (m):</strong> $1.96</span></span></td></tr></tbody></table></html>","NFL"
1953,0.6,1,0.6,0.6,0.6,2.557155,23.4635757316236,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1953 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.6<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.6<br /><strong>Minimum Valuation (m):</strong> $0.6<br /><strong>Maximum Valuation (m):</strong> $0.6<br /><strong>Cumulative Sales Volume (m):</strong> $2.56</span></span></td></tr></tbody></table></html>","NFL"
1954,0.04,1,0.04,0.04,0.04,2.597155,1.54014681449509,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1954 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.04<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.04<br /><strong>Minimum Valuation (m):</strong> $0.04<br /><strong>Maximum Valuation (m):</strong> $0.04<br /><strong>Cumulative Sales Volume (m):</strong> $2.6</span></span></td></tr></tbody></table></html>","NFL"
1957,0.15,1,0.15,0.15,0.15,0.193,77.720207253886,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1957 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://www.scuygo.com/images/nba.png width='200' heigh='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.15<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.15<br /><strong>Minimum Valuation (m):</strong> $0.15<br /><strong>Maximum Valuation (m):</strong> $0.15<br /><strong>Cumulative Sales Volume (m):</strong> $0.193</span></span></td></tr></tbody></table></html>","NBA"
1959,0.2,8,0.025,0.025,0.025,2.797155,7.15012217771271,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1959 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.2<br /><strong>Transactions:</strong> 8<br /><strong>Mean Valuation (m):</strong> $0.025<br /><strong>Minimum Valuation (m):</strong> $0.025<br /><strong>Maximum Valuation (m):</strong> $0.025<br /><strong>Cumulative Sales Volume (m):</strong> $2.8</span></span></td></tr></tbody></table></html>","NFL"
1960,2.6,3,0.6,0.866666666666667,1.4,5.397155,48.173528460828,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1960 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $2.6<br /><strong>Transactions:</strong> 3<br /><strong>Mean Valuation (m):</strong> $0.867<br /><strong>Minimum Valuation (m):</strong> $1.4<br /><strong>Maximum Valuation (m):</strong> $0.6<br /><strong>Cumulative Sales Volume (m):</strong> $5.4</span></span></td></tr></tbody></table></html>","NFL"
1961,7.85,1,7.85,7.85,7.85,13.247155,59.2580067191786,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1961 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $7.85<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $7.85<br /><strong>Minimum Valuation (m):</strong> $7.85<br /><strong>Maximum Valuation (m):</strong> $7.85<br /><strong>Cumulative Sales Volume (m):</strong> $13.2</span></span></td></tr></tbody></table></html>","NFL"
