player,agency,agent,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Darrell Arthur,Independent,Jerry Hicks,"$3,231,683 ","$3,457,149 ",$0 ,$0 ,$0 
Darren Collison,BDA Sports Management,Rade Filipovich,"$1,900,000 ","$1,985,500 ",$0 ,$0 ,$0 
David Lee,Priority Sports & Entertainment,Mark Bartelstein,"$13,878,000 ","$15,012,000 ","$15,493,680 ",$0 ,$0 
David West,Octagon Athlete Representation,Jeff Austin,"$12,000,000 ","$12,000,000 ","$12,600,000 ",$0 ,$0 
DeAndre Jordan,Wasserman Media Group,Arn Tellem,"$10,986,550 ","$11,440,123 ",$0 ,$0 ,$0 
Dee Bost,540 Sports and Entertainment LLC,John Spencer,"$490,180 ","$816,482 ",$0 ,$0 ,$0 
DeJuan Blair,Relativity Sports,Dan Fegan,"$941,000 ",$0 ,$0 ,$0 ,$0 
DeMar DeRozan,Goodwin Management Group,Aaron Goodwin,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",$0 
DeMarcus Cousins,Relativity Sports,Dan Fegan,"$4,916,973 ","$6,519,198 ",$0 ,$0 ,$0 
DeMarre Carroll,Priority Sports & Entertainment,Mark Bartelstein,"$2,500,000 ","$2,500,000 ",$0 ,$0 ,$0 
Dennis Schroeder,Octagon Athlete Representation,Jeff Austin,"$1,617,840 ","$1,690,680 ","$1,763,400 ","$2,708,582 ","$3,824,518 "
Derek Fisher,Landmark Sports Agency,Rob Pelinka,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Deron Williams,Excel Sports Management,Jeff Schwartz,"$18,466,130 ","$19,754,465 ","$21,042,800 ","$22,331,135 ",$0 
Derrick Favors,Perennial,Wallace Prather,"$6,008,106 ","$7,882,663 ",$0 ,$0 ,$0 
Derrick Rose,Wasserman Media Group,Arn Tellem,"$17,632,688 ","$18,862,876 ","$20,093,064 ","$21,323,252 ",$0 
Derrick Williams,Landmark Sports Agency,Rob Pelinka,"$5,293,080 ","$6,679,866 ","$8,717,225 ",$0 ,$0 
DeShawn Stevenson,Wasserman Media Group,Arn Tellem,"$2,240,450 ",$0 ,$0 ,$0 ,$0 
Devin Ebanks,Lagardere Unlimited,David Bauman,TBD,TBD,TBD,TBD,TBD
Devin Harris,Excel Sports Management,Jeff Schwartz,"$1,272,279 ",$0 ,$0 ,$0 ,$0 
Diante Garrett,Wasserman Media Group,Arn Tellem,"$788,872 ",$0 ,$0 ,$0 ,$0 
Dion Waiters,Landmark Sports Agency,Rob Pelinka,"$3,894,240 ","$4,062,000 ","$5,138,430 ","$6,777,589 ",$0 
Dominic McGuire,Priority Sports & Entertainment,Mark Bartelstein,TBD,TBD,TBD,TBD,TBD
Donald Sloan,Impact Sports Basketball,Brian Elfus,"$884,293 ","$948,163 ",$0 ,$0 ,$0 
Donatas Motiejunas,Wasserman Media Group,Arn Tellem,"$1,422,720 ","$1,483,920 ","$2,288,204 ","$3,278,996 ",$0 
Dorell Wright,Wasserman Media Group,Arn Tellem,"$3,000,000 ","$3,145,000 ",$0 ,$0 ,$0 
Doron Lamb,Wasserman Media Group,Arn Tellem,"$788,872 ","$915,243 ",$0 ,$0 ,$0 
Drew Gooden,Relativity Sports,Dan Fegan,"$6,680,000*","$6,680,000*",$0 ,$0 ,$0 
Dwight Buycks,Relativity Sports,Chris Patrick,"$700,000 ","$816,482 ",$0 ,$0 ,$0 
Dwight Howard,Relativity Sports,Dan Fegan,"$20,513,178 ","$21,436,271 ","$22,359,364 ","$23,282,457 ",$0 
Dwyane Wade,Creative Artists Agency,Henry Thomas,"$18,536,000 ","$20,048,000 ","$21,560,000 ",$0 ,$0 
E'Twaun Moore,Priority Sports & Entertainment,Mark Bartelstein,"$884,293 ",$0 ,$0 ,$0 ,$0 
Earl Clark,BDA Sports Management,Kevin Bradbury,"$4,250,000 ","$4,250,000 ",$0 ,$0 ,$0 
Earl Watson,Priority Sports & Entertainment,Mark Bartelstein,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Ed Davis,Landmark Sports Agency,Rob Pelinka,"$3,153,860 ","$4,361,788 ",$0 ,$0 ,$0 
EJ Singler,Wasserman Media Group,Greg Lawrence,TBD,TBD,TBD,TBD,TBD
Ekpe Udoh,CGL Sports,Chris Grier Luchey,"$4,469,547 ","$5,962,375 ",$0 ,$0 ,$0 
Elias Harris,Priority Sports & Entertainment,Brad Ames,"$490,180 ","$816,482 ",$0 ,$0 ,$0 
Elton Brand,FAME,David Falk,"$4,000,000 ",$0 ,$0 ,$0 ,$0 
Emeka Okafor,Excel Sports Management,Jeff Schwartz,"$14,544,687 ",$0 ,$0 ,$0 ,$0 
Enes Kanter,Independent,Max Ergul,"$4,753,320 ","$6,008,106 ","$7,882,663 ",$0 ,$0 
Eric Bledsoe,Klutch Sports Management,Rich Paul,"$2,626,473 ","$3,726,965 ",$0 ,$0 ,$0 
Eric Gordon,Landmark Sports Agency,Rob Pelinka,"$14,283,844 ","$14,898,938 ","$15,514,031 ",$0 ,$0 
Eric Maynor,ASM Sports,Andy Miller,"$2,016,000 ","$2,106,720 ",$0 ,$0 ,$0 
Ersan Ilyasova,ASM Sports,Andy Miller,"$7,900,000 ","$7,900,000 ","$7,900,000 ","$8,400,000 ",$0 
Evan Fournier,Comsport,Bouna Ndiaye,"$1,422,720 ","$1,483,920 ","$2,288,204 ","$3,278,996 ",$0 
Evan Turner,FAME,David Falk,"$6,679,866 ","$8,717,225 ",$0 ,$0 ,$0 
Fab Melo,Wasserman Media Group,BJ Armstrong,"$1,311,240 ",$0 ,$0 ,$0 ,$0 
Festus Ezeli,BDA Sports Management,Bill Duffy,"$1,066,920 ","$1,112,880 ","$2,008,748 ","$3,013,122 ",$0 
Francisco Garcia,Goodwin Management Group,Aaron Goodwin,"$1,265,977 ","$1,316,809 ",$0 ,$0 ,$0 
Garrett Temple,Performance Sports Management,John Hamilton,"$916,099 ",$0 ,$0 ,$0 ,$0 
Gary Neal,Lagardere Unlimited,David Bauman,TBD,TBD,TBD,TBD,TBD
George Hill,Saga Sports,Bill Neff,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 
Gerald Green,"Dutt Sports Services, Inc",Colin Bryant,"$3,500,000 ","$3,500,000 ",$0 ,$0 ,$0 
Gerald Henderson,Wasserman Media Group,Arn Tellem,"$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
Gerald Wallace,Landmark Sports Agency,Rob Pelinka,"$10,105,855 ","$10,105,855 ","$10,105,855 ",$0 ,$0 
Giannis Antetokounmpo,Octagon Athlete Representation,Alex Saratsis,"$1,792,560 ","$1,873,200 ","$1,953,960 ","$2,995,420 ","$4,187,597 "
Gigi Datome,Excel Sports Management,Sam Goldfeder,"$1,750,000 ","$1,750,000 ",$0 ,$0 ,$0 
Glen Davis,Performance Sports Management,John Hamilton,"$6,400,000 ","$6,600,000 ",$0 ,$0 ,$0 
Glen Rice Jr,24/7 Sports Management,Jeff Wechsler,TBD,TBD,TBD,TBD,TBD
Goran Dragic,BDA Sports Management,Rade Filipovich,"$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
Gordon Hayward,Priority Sports & Entertainment,Mark Bartelstein,"$3,452,183 ","$4,677,708 ",$0 ,$0 ,$0 
Gorgui Dieng,Wasserman Media Group,Arn Tellem,"$1,352,640 ","$1,413,480 ","$1,474,440 ","$2,348,782 ","$3,384,596 "
Greg Monroe,FAME,David Falk,"$4,086,453 ","$5,479,933 ",$0 ,$0 ,$0 
Greg Oden,BDA Sports Management,Mike Conley,"$884,293 ",$0 ,$0 ,$0 ,$0 
Greg Smith,Impact Sports Basketball,Brian Elfus,"$884,293 ",$0 ,$0 ,$0 ,$0 
Greg Stiemsma,Priority Sports & Entertainment,Mark Bartelstein,"$2,676,000 ",$0 ,$0 ,$0 ,$0 
Greivis Vasquez,Wasserman Media Group,Arn Tellem,"$2,150,188 ","$3,203,780 ",$0 ,$0 ,$0 
Gustavo Ayon,Duran International Sports Management,Emilio Duran,"$1,500,000 ",$0 ,$0 ,$0 ,$0 
Hamed Haddadi,Pinnacle Management Corporation,Marc Cornstein,"$200,000 ",$0 ,$0 ,$0 ,$0 
Harrison Barnes,24/7 Sports Management,Jeff Wechsler,"$2,923,920 ","$3,049,920 ","$3,873,398 ","$5,194,226 ",$0 
