start_year,end_year,season,team_id,player_name,league,age,games_played,min_pg,pts_pg,trb_pg,ast_pg,stl_pg,blk_pg,fg_pct,X3pt_pct,ft_pct,ws,ws_per48,winner_tie,team_season_url,team,record,division_standing,division,team_wins,team_losses,team_win_pct
1988,1989,1988-89,GSW,Mitch Richmond,NBA,23,79,34.40,22.00,5.90,4.20,1.00,0.20,46.80,36.70,81.00,5.60,9.80,FALSE,http://www.basketball-reference.com//teams/GSW/1989.html,Golden State Warriors,43-39,4,Pacific,43,39,52.44
1989,1990,1989-90,SAS,David Robinson,NBA,24,82,36.60,24.30,12.00,2.00,1.70,3.90,53.10,0.00,73.20,15.10,24.10,FALSE,http://www.basketball-reference.com//teams/SAS/1990.html,San Antonio Spurs,56-26,1,Midwest,56,26,68.29
1990,1991,1990-91,NJN,Derrick Coleman,NBA,23,74,35.20,18.40,10.30,2.20,1.00,1.30,46.70,34.20,73.10,5.80,10.80,FALSE,http://www.basketball-reference.com//teams/NJN/1991.html,New Jersey Nets,26-56,5,Atlantic,26,56,31.71
1991,1992,1991-92,CHH,Larry Johnson,NBA,22,82,37.20,19.20,11.00,3.60,1.00,0.60,49.00,22.70,82.90,8.90,14.00,FALSE,http://www.basketball-reference.com//teams/CHH/1992.html,Charlotte Hornets,31-51,7,Central,31,51,37.81
1992,1993,1992-93,ORL,Shaquille O'Neal,NBA,20,81,37.90,23.40,13.90,1.90,0.70,3.50,56.20,0.00,59.20,10.40,16.30,FALSE,http://www.basketball-reference.com//teams/ORL/1993.html,Orlando Magic,41-41,4,Atlantic,41,41,50.00
1993,1994,1993-94,GSW,Chris Webber,NBA,20,76,32.10,17.50,9.10,3.60,1.20,2.20,55.20,0.00,53.20,7.80,15.40,FALSE,http://www.basketball-reference.com//teams/GSW/1994.html,Golden State Warriors,50-32,3,Pacific,50,32,60.98
1994,1995,1994-95,DAL,Jason Kidd,NBA,21,79,33.80,11.70,5.40,7.70,1.90,0.30,38.50,27.20,69.80,3.70,6.60,TRUE,http://www.basketball-reference.com//teams/DAL/1995.html,Dallas Mavericks,36-46,5,Midwest,36,46,43.90
1994,1995,1994-95,DET,Grant Hill,NBA,22,70,38.30,19.90,6.40,5.00,1.80,0.90,47.70,14.80,73.20,5.40,9.70,TRUE,http://www.basketball-reference.com//teams/DET/1995.html,Detroit Pistons,28-54,7,Central,28,54,34.15
1995,1996,1995-96,TOR,Damon Stoudamire,NBA,22,70,40.90,19.00,4.00,9.30,1.40,0.30,42.60,39.50,79.70,4.30,7.20,FALSE,http://www.basketball-reference.com//teams/TOR/1996.html,Toronto Raptors,21-61,8,Central,21,61,25.61
1996,1997,1996-97,PHI,Allen Iverson,NBA,21,76,40.10,23.50,4.10,7.50,2.10,0.30,41.60,34.10,70.20,4.10,6.50,FALSE,http://www.basketball-reference.com//teams/PHI/1997.html,Philadelphia 76ers,22-60,6,Atlantic,22,60,26.83
1997,1998,1997-98,SAS,Tim Duncan,NBA,21,82,39.10,21.10,11.90,2.70,0.70,2.50,54.90,0.00,66.20,12.80,19.20,FALSE,http://www.basketball-reference.com//teams/SAS/1998.html,San Antonio Spurs,56-26,2,Midwest,56,26,68.29
1998,1999,1998-99,TOR,Vince Carter,NBA,22,50,35.20,18.30,5.70,3.00,1.10,1.50,45.00,28.80,76.10,5.00,13.60,FALSE,http://www.basketball-reference.com//teams/TOR/1999.html,Toronto Raptors,23-27,6,Central,23,27,46.00
1999,2000,1999-00,CHI,Elton Brand,NBA,20,81,37.00,20.10,10.00,1.90,0.80,1.60,48.20,0.00,68.50,7.50,12.10,TRUE,http://www.basketball-reference.com//teams/CHI/2000.html,Chicago Bulls,17-65,8,Central,17,65,20.73
1999,2000,1999-00,HOU,Steve Francis,NBA,22,77,36.10,18.00,5.30,6.60,1.50,0.40,44.50,34.50,78.60,6.40,11.10,TRUE,http://www.basketball-reference.com//teams/HOU/2000.html,Houston Rockets,34-48,6,Midwest,34,48,41.46
2000,2001,2000-01,ORL,Mike Miller,NBA,20,82,29.10,11.90,4.00,1.70,0.60,0.20,43.60,40.70,71.10,5.30,10.60,FALSE,http://www.basketball-reference.com//teams/ORL/2001.html,Orlando Magic,43-39,4,Atlantic,43,39,52.44
2001,2002,2001-02,MEM,Pau Gasol,NBA,21,82,36.70,17.60,8.90,2.70,0.50,2.10,51.80,20.00,70.90,7.60,12.10,FALSE,http://www.basketball-reference.com//teams/MEM/2002.html,Memphis Grizzlies,23-59,7,Midwest,23,59,28.05
2002,2003,2002-03,PHO,Amar'e Stoudemire,NBA,20,82,31.30,13.50,8.80,1.00,0.80,1.10,47.20,20.00,66.10,6.20,11.60,FALSE,http://www.basketball-reference.com//teams/PHO/2003.html,Phoenix Suns,44-38,4,Pacific,44,38,53.66
2003,2004,2003-04,CLE,LeBron James,NBA,19,79,39.50,20.90,5.50,5.90,1.60,0.70,41.70,29.00,75.40,5.10,7.80,FALSE,http://www.basketball-reference.com//teams/CLE/2004.html,Cleveland Cavaliers,35-47,5,Central,35,47,42.68
2004,2005,2004-05,CHA,Emeka Okafor,NBA,22,73,35.60,15.10,10.90,0.90,0.80,1.70,44.70,0.00,60.90,4.00,7.40,FALSE,http://www.basketball-reference.com//teams/CHA/2005.html,Charlotte Bobcats,18-64,4,Southeast,18,64,21.95
2005,2006,2005-06,NOK,Chris Paul,NBA,20,78,36.00,16.10,5.10,7.80,2.20,0.10,43.00,28.20,84.70,10.40,17.80,FALSE,http://www.basketball-reference.com//teams/NOK/2006.html,New Orleans/Oklahoma City Hornets,38-44,4,Southwest,38,44,46.34
2006,2007,2006-07,POR,Brandon Roy,NBA,22,57,35.40,16.80,4.40,4.00,1.20,0.20,45.60,37.70,83.80,4.80,11.40,FALSE,http://www.basketball-reference.com//teams/POR/2007.html,Portland Trail Blazers,32-50,3,Northwest,32,50,39.02
2007,2008,2007-08,SEA,Kevin Durant,NBA,19,80,34.60,20.30,4.40,2.40,1.00,0.90,43.00,28.80,87.30,2.30,4.00,FALSE,http://www.basketball-reference.com//teams/SEA/2008.html,Seattle SuperSonics,20-62,5,Northwest,20,62,24.39
2008,2009,2008-09,CHI,Derrick Rose,NBA,20,81,37.00,16.80,3.90,6.30,0.80,0.20,47.50,22.20,78.80,4.90,7.80,FALSE,http://www.basketball-reference.com//teams/CHI/2009.html,Chicago Bulls,41-41,2,Central,41,41,50.00
2009,2010,2009-10,SAC,Tyreke Evans,NBA,20,72,37.20,20.10,5.30,5.80,1.50,0.40,45.80,25.50,74.80,5.40,9.70,FALSE,http://www.basketball-reference.com//teams/SAC/2010.html,Sacramento Kings,25-57,5,Pacific,25,57,30.49
2010,2011,2010-11,LAC,Blake Griffin,NBA,21,82,38.00,22.50,12.10,3.80,0.80,0.50,50.60,29.20,64.20,9.80,15.20,FALSE,http://www.basketball-reference.com//teams/LAC/2011.html,Los Angeles Clippers,32-50,4,Pacific,32,50,39.02
2011,2012,2011-12,CLE,Kyrie Irving,NBA,19,51,30.50,18.50,3.70,5.40,1.10,0.40,46.90,39.90,87.20,4.10,12.50,FALSE,http://www.basketball-reference.com//teams/CLE/2012.html,Cleveland Cavaliers,21-45,5,Central,21,45,31.82
2012,2013,2012-13,POR,Damian Lillard,NBA,22,82,38.60,19.00,3.10,6.50,0.90,0.20,42.90,36.80,84.40,5.80,8.80,FALSE,http://www.basketball-reference.com//teams/POR/2013.html,Portland Trail Blazers,33-49,4,Northwest,33,49,40.24
