season,team_id,player_name,league,age,games_played,min_pg,pts_pg,trb_pg,ast_pg,stl_pg,blk_pg,fg_pct,3pt_pct,ft_pct,ws,ws_per48,winner_tie,team_season_url
1996-97,PHI,Allen Iverson,NBA,21,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065,FALSE,http://www.basketball-reference.com//teams/PHI/1997.html
1997-98,SAS,Tim Duncan,NBA,21,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192,FALSE,http://www.basketball-reference.com//teams/SAS/1998.html
1998-99,TOR,Vince Carter,NBA,22,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136,FALSE,http://www.basketball-reference.com//teams/TOR/1999.html
1999-00,CHI,Elton Brand,NBA,20,81,37,20.1,10,1.9,0.8,1.6,0.482,0,0.685,7.5,0.121,TRUE,http://www.basketball-reference.com//teams/CHI/2000.html
1999-00,HOU,Steve Francis,NBA,22,77,36.1,18,5.3,6.6,1.5,0.4,0.445,0.345,0.786,6.4,0.111,TRUE,http://www.basketball-reference.com//teams/HOU/2000.html
2000-01,ORL,Mike Miller,NBA,20,82,29.1,11.9,4,1.7,0.6,0.2,0.436,0.407,0.711,5.3,0.106,FALSE,http://www.basketball-reference.com//teams/ORL/2001.html
2001-02,MEM,Pau Gasol,NBA,21,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121,FALSE,http://www.basketball-reference.com//teams/MEM/2002.html
2002-03,PHO,Amar'e Stoudemire,NBA,20,82,31.3,13.5,8.8,1,0.8,1.1,0.472,0.2,0.661,6.2,0.116,FALSE,http://www.basketball-reference.com//teams/PHO/2003.html
2003-04,CLE,LeBron James,NBA,19,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,FALSE,http://www.basketball-reference.com//teams/CLE/2004.html
2004-05,CHA,Emeka Okafor,NBA,22,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0,0.609,4,0.074,FALSE,http://www.basketball-reference.com//teams/CHA/2005.html
2005-06,NOK,Chris Paul,NBA,20,78,36,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.178,FALSE,http://www.basketball-reference.com//teams/NOK/2006.html
2006-07,POR,Brandon Roy,NBA,22,57,35.4,16.8,4.4,4,1.2,0.2,0.456,0.377,0.838,4.8,0.114,FALSE,http://www.basketball-reference.com//teams/POR/2007.html
2007-08,SEA,Kevin Durant,NBA,19,80,34.6,20.3,4.4,2.4,1,0.9,0.43,0.288,0.873,2.3,0.04,FALSE,http://www.basketball-reference.com//teams/SEA/2008.html
2008-09,CHI,Derrick Rose,NBA,20,81,37,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,FALSE,http://www.basketball-reference.com//teams/CHI/2009.html
2009-10,SAC,Tyreke Evans,NBA,20,72,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,FALSE,http://www.basketball-reference.com//teams/SAC/2010.html
2010-11,LAC,Blake Griffin,NBA,21,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,FALSE,http://www.basketball-reference.com//teams/LAC/2011.html
2011-12,CLE,Kyrie Irving,NBA,19,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,FALSE,http://www.basketball-reference.com//teams/CLE/2012.html
2012-13,POR,Damian Lillard,NBA,22,82,38.6,19,3.1,6.5,0.9,0.2,0.429,0.368,0.844,5.8,0.088,FALSE,http://www.basketball-reference.com//teams/POR/2013.html
