,hometown,longitude,latitude
323,"Downey, CA, USA",-118.1325688,33.9400143
324,"Dresden, TN, USA",-88.7081122,36.2914512
325,"Drnis, Croatia",16.1558635,43.8602887
326,"Dublin, GA, USA",-82.903754,32.5404447
327,"Dublin, Ireland",-6.2603097,53.3498053
328,"Dublin, TX, USA",-98.3419882,32.085143
329,"Dubuque, IA, USA",-90.6645718,42.5005583
330,"Duluth, MN, USA",-92.1004852,46.7866719
331,"Dumfries, VA, USA",-77.3280382,38.5676202
332,"Durango, CO, USA",-107.8800667,37.27528
333,"Durham, NC, USA",-78.898619,35.9940329
334,"Duryea, PA, USA",-75.7624387,41.3513207
335,"East Chicago, IN, USA",-87.4547635,41.6392024
336,"East Liverpool, OH, USA",-80.5772928,40.6186756
337,"East Orange, NJ, USA",-74.2048677,40.767323
338,"East Peoria, IL, USA",-89.5800978,40.666149
339,"East Point, GA, USA",-84.4393724,33.6795531
340,"East Spencer, NC, USA",-80.4322801,35.6818059
341,"East St. Louis, IL, USA",-90.1277778,38.6155556
342,"East St. Louis, MO, USA",-90.1994042,38.6270025
343,"Eastman, GA, USA",-83.1776514,32.1976729
344,"Easton, PA, USA",-75.2207323,40.688432
345,"Eau Claire, WI, USA",-91.4984941,44.811349
346,"Ecorse, MI, USA",-83.1457569,42.2444833
347,"Edda, Cameroon",8.3314533,4.959524
348,"Edge, TX, USA",-96.2946839,30.8899124
349,"Edina, MN, USA",-93.3499489,44.8896866
350,"Edmond, OK, USA",-97.4780954,35.6528323
351,"Edmonds, WA, USA",-122.3773552,47.8106521
352,"Edwards AFB, CA, USA",-117.8912085,34.9240314
353,"Eindhoven, Netherlands",5.4697225,51.441642
354,"El Dorado, AR, USA",-92.6662674,33.20763
355,"El Mina, TX, USA",-106.2483645,31.7874872
356,"El Paso, TX, USA",-106.4869314,31.7587198
357,"El Rosario, Mexico",-99.2037508,19.5094012
358,"Elba, AL, USA",-86.0677243,31.4146108
359,"Elberton, GA, USA",-82.8670839,34.1112226
360,"Eldorado, IL, USA",-88.4381029,37.8136583
361,"Eleuthra, Bahamas",-76.1333333,25.1
362,"Elgin, IL, USA",-88.2811895,42.0372487
363,"Elizabeth City, NC, USA",-76.2510461,36.2946008
364,"Elizabeth, NJ, USA",-74.2107006,40.6639916
365,"Elkhart, IN, USA",-85.9766671,41.6819935
366,"Elkhorn, WI, USA",-88.5445447,42.6727927
367,"Ellensburg, WA, USA",-120.5478474,46.9965144
368,"Elm City, NC, USA",-77.863315,35.8065455
369,"Elma, WA, USA",-123.4087692,47.0034291
370,"Elmhurst, IL, USA",-87.9403418,41.8994744
371,"Elmhurst, NY, USA",-73.8801301,40.737975
372,"Elmira, NY, USA",-76.8077338,42.0897965
373,"Emmetsburg, IA, USA",-94.6830357,43.1127427
374,"Emporia, VA, USA",-77.5424809,36.6859829
375,"Encinitas, CA, USA",-117.2919818,33.0369867
376,"Englewood, NJ, USA",-73.9726381,40.8928771
377,"Erie, PA, USA",-80.085059,42.1292241
378,"Eschwege, Germany",10.0397725,51.1876662
379,"Eskisehir, Turkey",30.5205556,39.7766667
380,"Etna, PA, USA",-79.9489413,40.5042354
381,"Euclid, OH, USA",-81.5267873,41.5931049
382,"Eugene, OR, USA",-123.0867536,44.0520691
383,"Eustis, FL, USA",-81.6853534,28.8527675
384,"Evanston, IL, USA",-87.6876969,42.0450722
385,"Evansville, IN, USA",-87.5710898,37.9715592
386,"Everett, WA, USA",-122.2020794,47.9789848
387,"Fairfax, VA, USA",-77.3063733,38.8462236
388,"Fairfield, TX, USA",-96.1652481,31.7246128
