player,player_id,draft_year,pick,round,position_id,college,draft_team_id,location_type,location,city,state,state_name,country
Shaun Rogers,RogeSh99,2001,61,2,DT,Texas,DET,birth,"Houston, TX",Houston,TX,Texas,USA
Gary Baxter,BaxtGa20,2001,62,2,DB,Baylor,BAL,birth,"Tyler, TX",Tyler,TX,Texas,USA
David Carr,CarrDa00,2002,1,1,QB,Fresno St.,HOU,birth,"Bakersfield, CA",Bakersfield,CA,California,USA
Julius Peppers,PeppJu99,2002,2,1,DE,North Carolina,CAR,birth,"Wilson, NC",Wilson,NC,North Carolina,USA
Joey Harrington,HarrJo00,2002,3,1,QB,Oregon,DET,birth,"Portland, OR",Portland,OR,Oregon,USA
Mike D. Williams,WillMi22,2002,4,1,T,Texas,BUF,birth,"Dallas, TX",Dallas,TX,Texas,USA
Quentin Jammer,JammQu20,2002,5,1,DB,Texas,SDG,birth,"Bay City, TX",Bay City,TX,Texas,USA
Ryan Sims,SimsRy20,2002,6,1,DT,North Carolina,KAN,birth,"Spartanburg, SC",Spartanburg,SC,South Carolina,USA
Bryant McKinnie,McKiBr21,2002,7,1,T,Miami (FL),MIN,birth,"Woodbury, NJ",Woodbury,NJ,New Jersey,USA
Roy Williams,WillRo03,2002,8,1,DB,Oklahoma,DAL,birth,"Redwood City, CA",Redwood City,CA,California,USA
John Henderson,HendJo99,2002,9,1,DT,Tennessee,JAX,birth,"Nashville, TN",Nashville,TN,Tennessee,USA
Levi Jones,JoneLe23,2002,10,1,T,Arizona St.,CIN,birth,"Eloy, AZ",Eloy,AZ,Arizona,USA
Dwight Freeney,FreeDw00,2002,11,1,DE,Syracuse,IND,birth,"Hartford, CT",Hartford,CT,Connecticut,USA
Wendell Bryant,BryaWe20,2002,12,1,DT,Wisconsin,ARI,birth,"St. Louis, MO",St. Louis,MO,Missouri,USA
Donte Stallworth,StalDo00,2002,13,1,WR,Tennessee,NOR,birth,"Sacramento, CA",Sacramento,CA,California,USA
Jeremy Shockey,ShocJe00,2002,14,1,TE,Miami (FL),NYG,birth,"Ada, OK",Ada,OK,Oklahoma,USA
Albert Haynesworth,HaynAl20,2002,15,1,DT,Tennessee,TEN,birth,"Hartsville, SC",Hartsville,SC,South Carolina,USA
William Green,GreeWi01,2002,16,1,RB,Boston Col.,CLE,birth,"Atlantic City, NJ",Atlantic City,NJ,New Jersey,USA
Phillip Buchanon,BuchPh20,2002,17,1,DB,Miami (FL),OAK,birth,"Fort Myers, FL",Fort Myers,FL,Florida,USA
T.J. Duckett,DuckT.00,2002,18,1,RB,Michigan St.,ATL,birth,"Kalamazoo, MI",Kalamazoo,MI,Michigan,USA
Ashley Lelie,LeliAs00,2002,19,1,WR,Hawaii,DEN,birth,"Bellflower, CA",Bellflower,CA,California,USA
Javon Walker,WalkJa00,2002,20,1,WR,Florida St.,GNB,birth,"Galveston, TX",Galveston,TX,Texas,USA
Daniel Graham,GrahDa00,2002,21,1,TE,Colorado,NWE,birth,"Torrance, CA",Torrance,CA,California,USA
Bryan Thomas,ThomBr21,2002,22,1,DE,Ala-Birmingham,NYJ,birth,"Birmingham, AL",Birmingham,AL,Alabama,USA
Napoleon Harris,HarrNa20,2002,23,1,LB,Northwestern,OAK,birth,"Chicago, IL",Chicago,IL,Illinois,USA
Ed Reed,ReedEd00,2002,24,1,DB,Miami (FL),BAL,birth,"St. Rose, LA",St. Rose,LA,Louisiana,USA
Charles Grant,GranCh21,2002,25,1,DE,Georgia,NOR,birth,"Colquitt, GA",Colquitt,GA,Georgia,USA
Lito Sheppard,ShepLi99,2002,26,1,DB,Florida,PHI,birth,"Jacksonville, FL",Jacksonville,FL,Florida,USA
Mike Rumph,RumpMi20,2002,27,1,DB,Miami (FL),SFO,birth,"Boynton Beach, FL",Boynton Beach,FL,Florida,USA
Jerramy Stevens,StevJe00,2002,28,1,TE,Washington,SEA,birth,"Boise, ID",Boise,ID,Idaho,USA
Marc Colombo,ColoMa20,2002,29,1,T,Boston Col.,CHI,birth,"Bridgewater, MA",Bridgewater,MA,Massachusetts,USA
Kendall Simmons,SimmKe20,2002,30,1,G,Auburn,PIT,birth,"Ripley, MA",Ripley,MA,Massachusetts,USA
Robert W. Thomas,ThomRo20,2002,31,1,LB,UCLA,STL,birth,"El Centro, CA",El Centro,CA,California,USA
Patrick Ramsey,RamsPa00,2002,32,1,QB,Tulane,WAS,birth,"Ruston, LA",Ruston,LA,Louisiana,USA
Jabar Gaffney,GaffJa00,2002,33,2,WR,Florida,HOU,birth,"San Antonio, TX",San Antonio,TX,Texas,USA
DeShaun Foster,FostDe00,2002,34,2,RB,UCLA,CAR,birth,"Charlotte, NC",Charlotte,NC,North Carolina,USA
Kalimba Edwards,EdwaKa20,2002,35,2,DE,South Carolina,DET,birth,"East Point, GA",East Point,GA,Georgia,USA
Josh Reed,ReedJo01,2002,36,2,WR,LSU,BUF,birth,"Rayne, LA",Rayne,LA,Louisiana,USA
Andre Gurode,GuroAn20,2002,37,2,G,Colorado,DAL,birth,"Houston, TX",Houston,TX,Texas,USA
Raonall Smith,SmitRa20,2002,38,2,LB,Washington St.,MIN,birth,"Mesa, AZ",Mesa,AZ,Arizona,USA
Toniu Fonoti,FonoTo20,2002,39,2,G,Nebraska,SDG,birth,"Pago Pago, American Samoa",Pago Pago,,,American Samoa
Mike Pearson,PearMi20,2002,40,2,T,Florida,JAX,birth,"Tampa, FL",Tampa,FL,Florida,USA
Lamont Thompson,ThomLa21,2002,41,2,DB,Washington St.,CIN,birth,"Richmond, CA",Richmond,CA,California,USA
Larry Tripplett,TripLa20,2002,42,2,DT,Washington,IND,birth,"Los Angeles, CA",Los Angeles,CA,California,USA
Eddie Freeman,FreeEd20,2002,43,2,DE,Ala-Birmingham,KAN,birth,"Mobile, AL",Mobile,AL,Alabama,USA
LeCharles Bentley,BentLe00,2002,44,2,G,Ohio St.,NOR,birth,"Cleveland, OH",Cleveland,OH,Ohio,USA
Tank Williams,WillTa20,2002,45,2,DB,Stanford,TEN,birth,"Gulfport, MS",Gulfport,MS,Mississippi,USA
Tim Carter,CartTi00,2002,46,2,WR,Auburn,NYG,birth,"Atlanta, GA",Atlanta,GA,Georgia,USA
Andre' Davis,DaviAn01,2002,47,2,WR,Virginia Tech,CLE,birth,"Niskayuna, NY",Niskayuna,NY,New York,USA
Reche Caldwell,CaldRe00,2002,48,2,WR,Florida,SDG,birth,"Tampa, FL",Tampa,FL,Florida,USA
Levar Fisher,FishLe20,2002,49,2,LB,North Carolina St.,ARI,birth,"Beaufort, NC",Beaufort,NC,North Carolina,USA
Chester Pitts,PittCh20,2002,50,2,T,San Diego St.,HOU,birth,"Inglewood, CA",Inglewood,CA,California,USA
Clinton Portis,PortCl00,2002,51,2,RB,Miami (FL),DEN,birth,"Laurel, MS",Laurel,MS,Mississippi,USA
Anthony Weaver,WeavAn20,2002,52,2,DE,Notre Dame,BAL,birth,"Abilene, TX",Abilene,TX,Texas,USA
Langston Walker,WalkLa20,2002,53,2,T,California,OAK,birth,"Oakland, CA",Oakland,CA,California,USA
Maurice Morris,MorrMa00,2002,54,2,RB,Oregon,SEA,birth,"Chester, SC",Chester,SC,South Carolina,USA
Doug Jolley,JollDo00,2002,55,2,TE,BYU,OAK,birth,"Sandy, UT",Sandy,UT,Utah,USA
Ladell Betts,BettLa00,2002,56,2,RB,Iowa,WAS,birth,"Blue Springs, MO",Blue Springs,MO,Missouri,USA
Jon McGraw,McGrJo21,2002,57,2,DB,Kansas St.,NYJ,birth,"Manhattan, KS",Manhattan,KS,Kansas,USA
Michael Lewis,LewiMi99,2002,58,2,DB,Colorado,PHI,birth,"Houston, TX",Houston,TX,Texas,USA
Sheldon Brown,BrowSh20,2002,59,2,DB,South Carolina,PHI,birth,"Lancaster, SC",Lancaster,SC,South Carolina,USA
Anton Palepoi,PaleAn20,2002,60,2,DE,UNLV,SEA,birth,"Salt Lake City, UT",Salt Lake City,UT,Utah,USA
Ryan Denney,DennRy20,2002,61,2,DE,BYU,BUF,birth,"Thornton, CO",Thornton,CO,Colorado,USA
Antwaan Randle El,RandAn00,2002,62,2,WR,Indiana,PIT,birth,"Riverdale, IL",Riverdale,IL,Illinois,USA
Antonio Bryant,BryaAn00,2002,63,2,WR,Pittsburgh,DAL,birth,"Miami, FL",Miami,FL,Florida,USA
Travis Fisher,FishTr20,2002,64,2,DB,Central Florida,STL,birth,"Tallahassee, FL",Tallahassee,FL,Florida,USA
Deion Branch,BranDe00,2002,65,2,WR,Louisville,NWE,birth,"Albany, GA",Albany,GA,Georgia,USA
Carson Palmer,PalmCa00,2003,1,1,QB,USC,CIN,birth,"Fresno, CA",Fresno,CA,California,USA
Charles Rogers,RogeCh01,2003,2,1,WR,Michigan St.,DET,birth,"Saginaw, MI",Saginaw,MI,Michigan,USA
Andre Johnson,JohnAn02,2003,3,1,WR,Miami (FL),HOU,birth,"Miami, FL",Miami,FL,Florida,USA
Dewayne Robertson,RobeDe20,2003,4,1,DT,Kentucky,NYJ,birth,"Memphis, TN",Memphis,TN,Tennessee,USA
Terence Newman,NewmTe20,2003,5,1,DB,Kansas St.,DAL,birth,"Salina, KS",Salina,KS,Kansas,USA
Johnathan Sullivan,SullJo23,2003,6,1,DT,Georgia,NOR,birth,"Griffin, GA",Griffin,GA,Georgia,USA
Byron Leftwich,LeftBy00,2003,7,1,QB,Marshall,JAX,birth,"Washington, DC",Washington,DC,District of Columbia,USA
Jordan Gross,GrosJo20,2003,8,1,T,Utah,CAR,birth,"Fruitland, ID",Fruitland,ID,Idaho,USA
