player,player_id,draft_year,pick,round,position_id,college,draft_team_id,location_type,location,city,state,state_name,country
Bernard Pollard,PollBe20,2006,54,2,DB,Purdue,KAN,birth,"Fort Wayne, IN",Fort Wayne,IN,Indiana,USA
Andrew Whitworth,WhitAn20,2006,55,2,T,LSU,CIN,birth,"Monroe, LA",Monroe,LA,Louisiana,USA
Chris Chester,ChesCh21,2006,56,2,G,Oklahoma,BAL,birth,"Tustin, CA",Tustin,CA,California,USA
Devin Hester,HestDe99,2006,57,2,DB,Miami (FL),CHI,birth,"Riviera Beach, FL",Riviera Beach,FL,Florida,USA
Richard Marshall,MarsRi20,2006,58,2,DB,Fresno St.,CAR,birth,"Los Angeles, CA",Los Angeles,CA,California,USA
Jeremy Trueblood,TrueJe20,2006,59,2,T,Boston Col.,TAM,birth,"Indianapolis, IN",Indianapolis,IN,Indiana,USA
Maurice Jones-Drew,DrewMa00,2006,60,2,RB,UCLA,JAX,birth,"Pinole, CA",Pinole,CA,California,USA
Tony Scheffler,ScheTo00,2006,61,2,TE,West. Michigan,DEN,birth,"Morenci, MI",Morenci,MI,Michigan,USA
Tim Jennings,JennTi20,2006,62,2,DB,Georgia,IND,birth,"Orangeburg, SC",Orangeburg,SC,South Carolina,USA
Darryl Tapp,TappDa20,2006,63,2,DE,Virginia Tech,SEA,birth,"Portsmouth, VA",Portsmouth,VA,Virginia,USA
Tarvaris Jackson,JackTa00,2006,64,2,QB,Alabama St.,MIN,birth,"Mongtomery, AL",Mongtomery,AL,Alabama,USA
JaMarcus Russell,RussJa00,2007,1,1,QB,LSU,OAK,birth,"Mobile, AL",Mobile,AL,Alabama,USA
Calvin Johnson,JohnCa00,2007,2,1,WR,Georgia Tech,DET,birth,"Tyrone, GA",Tyrone,GA,Georgia,USA
Joe Thomas,ThomJo28,2007,3,1,T,Wisconsin,CLE,birth,"Brookfield, WI",Brookfield,WI,Wisconsin,USA
Gaines Adams,AdamGa99,2007,4,1,DE,Clemson,TAM,birth,"Greenwood, SC",Greenwood,SC,South Carolina,USA
Levi Brown,BrowLe20,2007,5,1,T,Penn St.,ARI,birth,"Jacksonville, NC",Jacksonville,NC,North Carolina,USA
LaRon Landry,LandLa99,2007,6,1,DB,LSU,WAS,birth,"Metairie, LA",Metairie,LA,Louisiana,USA
Adrian Peterson,PeteAd01,2007,7,1,RB,Oklahoma,MIN,birth,"Palestine, TX",Palestine,TX,Texas,USA
Jamaal Anderson,AndeJa98,2007,8,1,DE,Arkansas,ATL,birth,"Little Rock, AR",Little Rock,AR,Arkansas,USA
Ted Ginn Jr.,GinnTe00,2007,9,1,WR,Ohio St.,MIA,birth,"Cleveland, OH",Cleveland,OH,Ohio,USA
Amobi Okoye,OkoyAm99,2007,10,1,DT,Louisville,HOU,birth,"Anambra, Nigeria",Anambra,,,Nigeria
Patrick Willis,WillPa98,2007,11,1,LB,Mississippi,SFO,birth,"Bruceton, TN",Bruceton,TN,Tennessee,USA
Marshawn Lynch,LyncMa00,2007,12,1,RB,California,BUF,birth,"Oakland, CA",Oakland,CA,California,USA
Adam Carriker,CarrAd99,2007,13,1,DE,Nebraska,STL,birth,"Hastings, NE",Hastings,NE,Nebraska,USA
Darrelle Revis,ReviDa99,2007,14,1,DB,Pittsburgh,NYJ,birth,"Aliquippa, PA",Aliquippa,PA,Pennsylvania,USA
Lawrence Timmons,TimmLa99,2007,15,1,LB,Florida St.,PIT,birth,"Florence, SC",Florence,SC,South Carolina,USA
Justin Harrell,HarrJu99,2007,16,1,DT,Tennessee,GNB,birth,"Martin, TN",Martin,TN,Tennessee,USA
Jarvis Moss,MossJa99,2007,17,1,DE,Florida,DEN,birth,"Denton, TX",Denton,TX,Texas,USA
Leon Hall,HallLe98,2007,18,1,DB,Michigan,CIN,birth,"Vista, CA",Vista,CA,California,USA
Michael Griffin,GrifMi99,2007,19,1,DB,Texas,TEN,birth,"Austin, TX",Austin,TX,Texas,USA
Aaron Ross,RossAa99,2007,20,1,DB,Texas,NYG,birth,"San Antonio, TX",San Antonio,TX,Texas,USA
Reggie Nelson,NelsRe99,2007,21,1,DB,Florida,JAX,birth,"Melbourne, FL",Melbourne,FL,Florida,USA
Brady Quinn,QuinBr00,2007,22,1,QB,Notre Dame,CLE,birth,"Columbus, OH",Columbus,OH,Ohio,USA
Dwayne Bowe,BoweDw00,2007,23,1,WR,LSU,KAN,birth,"Miami, FL",Miami,FL,Florida,USA
Brandon Meriweather,MeriBr99,2007,24,1,DB,Miami (FL),NWE,birth,"Apopka, FL",Apopka,FL,Florida,USA
Jon Beason,BeasJo99,2007,25,1,LB,Miami (FL),CAR,birth,"Miramar, FL",Miramar,FL,Florida,USA
Anthony Spencer,SpenAn99,2007,26,1,DE,Purdue,DAL,birth,"Fort Wayne, IN",Fort Wayne,IN,Indiana,USA
Robert Meachem,MeacRo00,2007,27,1,WR,Tennessee,NOR,birth,"Tulsa, OK",Tulsa,OK,Oklahoma,USA
Joe Staley,StalJo20,2007,28,1,T,Central Michigan,SFO,birth,"Rockford, MI",Rockford,MI,Michigan,USA
Ben Grubbs,GrubBe20,2007,29,1,G,Auburn,BAL,birth,"Columbus, GA",Columbus,GA,Georgia,USA
Craig Davis,DaviCr00,2007,30,1,WR,LSU,SDG,birth,"New Orleans, LA",New Orleans,LA,Louisiana,USA
Greg Olsen,OlseGr00,2007,31,1,TE,Miami (FL),CHI,birth,"Paterson, NJ",Paterson,NJ,New Jersey,USA
Anthony Gonzalez,GonzAn00,2007,32,1,WR,Ohio St.,IND,birth,"Cleveland, OH",Cleveland,OH,Ohio,USA
Alan Branch,BranAl99,2007,33,2,DT,Michigan,ARI,birth,"Albuquerque, NM",Albuquerque,NM,New Mexico,USA
Paul Posluszny,PoluPa99,2007,34,2,LB,Penn St.,BUF,birth,"Butler, PA",Butler,PA,Pennsylvania,USA
Arron Sears,SearAr20,2007,35,2,G,Tennessee,TAM,birth,"Russellville, AL",Russellville,AL,Alabama,USA
Kevin Kolb,KolbKe00,2007,36,2,QB,Houston,PHI,birth,"Victoria, TX",Victoria,TX,Texas,USA
Eric Weddle,WeddEr99,2007,37,2,DB,Utah,SDG,birth,"Fontana, CA",Fontana,CA,California,USA
Zach Miller,MillZa01,2007,38,2,TE,Arizona St.,OAK,birth,"Tempe, AZ",Tempe,AZ,Arizona,USA
Justin Blalock,BlalJu20,2007,39,2,G,Texas,ATL,birth,"Dallas, TX",Dallas,TX,Texas,USA
John Beck,BeckJo00,2007,40,2,QB,BYU,MIA,birth,"Hayward, CA",Hayward,CA,California,USA
Chris Houston,HousCh99,2007,41,2,DB,Arkansas,ATL,birth,"Austin, TX",Austin,TX,Texas,USA
Tony Ugoh,UgohTo20,2007,42,2,T,Arkansas,IND,birth,"Houston, TX",Houston,TX,Texas,USA
Drew Stanton,StanDr00,2007,43,2,QB,Michigan St.,DET,birth,"Okemos, MI",Okemos,MI,Michigan,USA
Sidney Rice,RiceSi01,2007,44,2,WR,South Carolina,MIN,birth,"Gaffney, SC",Gaffney,SC,South Carolina,USA
Dwayne Jarrett,JarrDw00,2007,45,2,WR,USC,CAR,birth,"New Brunswick, NJ",New Brunswick,NJ,New Jersey,USA
LaMarr Woodley,WoodLa99,2007,46,2,DE,Michigan,PIT,birth,"Saginaw, MI",Saginaw,MI,Michigan,USA
David Harris,HarrDa99,2007,47,2,LB,Michigan,NYJ,birth,"Grand Rapids, MI",Grand Rapids,MI,Michigan,USA
Justin Durant,DuraJu99,2007,48,2,LB,Hampton,JAX,birth,"Florence, SC",Florence,SC,South Carolina,USA
Kenny Irons,IronsKe01,2007,49,2,RB,Auburn,CIN,birth,"Camden, NJ",Camden,NJ,New Jersey,USA
Chris J. Henry,HenrCh01,2007,50,2,RB,Arizona,TEN,birth,"Oakland, CA",Oakland,CA,California,USA
Steve Smith,SmitSt02,2007,51,2,WR,USC,NYG,birth,"Anchorage, AK",Anchorage,AK,Alaska,USA
Brian Leonard,LeonBr00,2007,52,2,RB,Rutgers,STL,birth,"Gouveneur, NY",Gouveneur,NY,New York,USA
Eric Wright,WrigEr99,2007,53,2,DB,UNLV,CLE,birth,"San Francisco, CA",San Francisco,CA,California,USA
Turk McBride,McBrTu99,2007,54,2,DT,Tennessee,KAN,birth,"Camden, NJ",Camden,NJ,New Jersey,USA
Josh Wilson,WilsJo99,2007,55,2,DB,Maryland,SEA,birth,"Houston, TX",Houston,TX,Texas,USA
Tim Crowder,CrowTi99,2007,56,2,DE,Texas,DEN,birth,"Tyler, TX",Tyler,TX,Texas,USA
Victor Abiamiri,AbiaVi99,2007,57,2,DE,Notre Dame,PHI,birth,"Baltimore, MD",Baltimore,MD,Maryland,USA
Ikaika Alama-Francis,AlamIk99,2007,58,2,DE,Hawaii,DET,birth,"Kane'ohe, HI",Kane'ohe,HI,Hawaii,USA
Ryan Kalil,KaliRy20,2007,59,2,C,USC,CAR,birth,"Corona, CA",Corona,CA,California,USA
Samson Satele,SateSa20,2007,60,2,C,Hawaii,MIA,birth,"Kailua, HI",Kailua,HI,Hawaii,USA
Gerald Alexander,AlexGe99,2007,61,2,DB,Boise St.,DET,birth,"Los Angeles, CA",Los Angeles,CA,California,USA
Dan Bazuin,BazuDa01,2007,62,2,DE,Central Michigan,CHI,birth,"McBain, MI",McBain,MI,Michigan,USA
Brandon Jackson,JackBr00,2007,63,2,RB,Nebraska,GNB,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Sabby Piscitelli,PiscSa99,2007,64,2,LB,Oregon St.,TAM,birth,"Boca Raton, FL",Boca Raton,FL,Florida,USA
Jake Long,LongJa20,2008,1,1,T,Michigan,MIA,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Chris Long,LongCh99,2008,2,1,DE,Virginia,STL,birth,"Santa Monica, CA",Santa Monica,CA,California,USA
Matt Ryan,RyanMa00,2008,3,1,QB,Boston Col.,ATL,birth,"Exton, PA",Exton,PA,Pennsylvania,USA
Darren McFadden,McFaDa00,2008,4,1,RB,Arkansas,OAK,birth,"North Little Rock, AR",North Little Rock,AR,Arkansas,USA
Glenn Dorsey,DorsGl99,2008,5,1,DT,LSU,KAN,birth,"Baton Rouge, LA",Baton Rouge,LA,Louisiana,USA
Vernon Gholston,GholVe99,2008,6,1,DE,Ohio St.,NYJ,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Sedrick Ellis,ElliSe99,2008,7,1,DT,USC,NOR,birth,"Los Angeles County, CA",Los Angeles County,CA,California,USA
Derrick Harvey,HarvDe99,2008,8,1,DE,Florida,JAX,birth,"Greenbelt, MD",Greenbelt,MD,Maryland,USA
Keith Rivers,RiveKe99,2008,9,1,LB,USC,CIN,birth,"Riverside, CA",Riverside,CA,California,USA
Jerod Mayo,MayoJe99,2008,10,1,LB,Tennessee,NWE,birth,"Hampton, VA",Hampton,VA,Virginia,USA
Leodis McKelvin,McKeLe99,2008,11,1,DB,Troy,BUF,birth,"Waycross, GA",Waycross,GA,Georgia,USA
Ryan Clady,CladRy20,2008,12,1,T,Boise St.,DEN,birth,"Long Beach, CA",Long Beach,CA,California,USA
Jonathan Stewart,StewJo00,2008,13,1,RB,Oregon,CAR,birth,"Fort Lewis, WA",Fort Lewis,WA,Washington,USA
Chris Williams,WillCh25,2008,14,1,T,Vanderbilt,CHI,birth,"Baton Rouge, LA",Baton Rouge,LA,Louisiana,USA
Branden Albert,AlbeBr20,2008,15,1,G,Virginia,KAN,birth,"Rochester, NY",Rochester,NY,New York,USA
Dominique Rodgers-Cromartie,RodgDo99,2008,16,1,DB,Tennessee St.,ARI,birth,"Bradentown, FL",Bradentown,FL,Florida,USA
Gosder Cherilus,CherGo20,2008,17,1,T,Boston Col.,DET,birth,"Port-au-Prince, Haiti",Port-au-Prince,,,Haiti
Joe Flacco,FlacJo00,2008,18,1,QB,Delaware,BAL,birth,"Voorhees, NJ",Voorhees,NJ,New Jersey,USA
Jeff Otah,OtahJe20,2008,19,1,T,Pittsburgh,CAR,birth,"New Castle, DE",New Castle,DE,Delaware,USA
Aqib Talib,TaliAq99,2008,20,1,DB,Kansas,TAM,birth,"Cleveland, OH",Cleveland,OH,Ohio,USA
Sam Baker,BakeSa21,2008,21,1,T,USC,ATL,birth,"Tustin, CA",Tustin,CA,California,USA
Felix Jones,JoneFe00,2008,22,1,RB,Arkansas,DAL,birth,"Tulsa, OK",Tulsa,OK,Oklahoma,USA
Rashard Mendenhall,MendRa00,2008,23,1,RB,Illinois,PIT,birth,"Skokie, IL",Skokie,IL,Illinois,USA
Chris Johnson,JohnCh04,2008,24,1,RB,East Carolina,TEN,birth,"Orlando, FL",Orlando,FL,Florida,USA
Mike Jenkins,JenkMi99,2008,25,1,DB,South Florida,DAL,birth,"Neuenberg, Germany",Neuenberg,,,Germany
Duane Brown,BrowDu20,2008,26,1,T,Virginia Tech,HOU,birth,"Richmond, VA",Richmond,VA,Virginia,USA
Antoine Cason,CasoAn99,2008,27,1,DB,Arizona,SDG,birth,"Long Beach, CA",Long Beach,CA,California,USA
Lawrence Jackson,JackLa98,2008,28,1,DE,USC,SEA,birth,"Inglewood, CA",Inglewood,CA,California,USA
Kentwan Balmer,BalmKe99,2008,29,1,DT,North Carolina,SFO,birth,"Ashoskie, NC",Ashoskie,NC,North Carolina,USA
Dustin Keller,KellDu00,2008,30,1,TE,Purdue,NYJ,birth,"Lafayette, IN",Lafayette,IN,Indiana,USA
Kenny Phillips,PhilKe99,2008,31,1,DB,Miami (FL),NYG,birth,"Miami, FL",Miami,FL,Florida,USA
Phillip Merling,MerlPh99,2008,32,2,DE,Clemson,MIA,birth,"Memphis, TN",Memphis,TN,Tennessee,USA
Donnie Avery,AverDo00,2008,33,2,WR,Houston,STL,birth,"Houston, TX",Houston,TX,Texas,USA
Devin Thomas,ThomDe02,2008,34,2,WR,Michigan St.,WAS,birth,"Ann Arbor, MI",Ann Arbor,MI,Michigan,USA
Brandon Flowers,FlowBr99,2008,35,2,DB,Virginia Tech,KAN,birth,"Delray Beach, FL",Delray Beach,FL,Florida,USA
Jordy Nelson,NelsJo00,2008,36,2,WR,Kansas St.,GNB,birth,"Manhattan, KS",Manhattan,KS,Kansas,USA
Curtis Lofton,LoftCu99,2008,37,2,LB,Oklahoma,ATL,birth,"Kingfisher, OK",Kingfisher,OK,Oklahoma,USA
John Carlson,CarlJo00,2008,38,2,TE,Notre Dame,SEA,birth,"St. Cloud, MN",St. Cloud,MN,Minnesota,USA
Chilo Rachal,RachCh20,2008,39,2,G,USC,SFO,birth,"Compton, CA",Compton,CA,California,USA
Tracy Porter,PortTr99,2008,40,2,DB,Indiana,NOR,birth,"Port Allen, LA",Port Allen,LA,Louisiana,USA
James Hardy,HardJa00,2008,41,2,WR,Indiana,BUF,birth,"Fort Wayne, IN",Fort Wayne,IN,Indiana,USA
Eddie Royal,RoyaEd00,2008,42,2,WR,Virginia Tech,DEN,birth,"Alexandria, VA",Alexandria,VA,Virginia,USA
Tyrell Johnson,JohnTy99,2008,43,2,DB,Arkansas St.,MIN,birth,"Rison, AR",Rison,AR,Arkansas,USA
Matt Forte,FortMa00,2008,44,2,RB,Tulane,CHI,birth,"Lake Charles, LA",Lake Charles,LA,Louisiana,USA
Jordon Dizon,DizoJo99,2008,45,2,LB,Colorado,DET,birth,"Kauai, HI",Kauai,HI,Hawaii,USA
Jerome Simpson,SimpJe00,2008,46,2,WR,Coastal Carolina,CIN,birth,"Reidsville, NC",Reidsville,NC,North Carolina,USA
Trevor Laws,LawsTr99,2008,47,2,DT,Notre Dame,PHI,birth,"Dayton, OH",Dayton,OH,Ohio,USA
Fred Davis,DaviFr01,2008,48,2,TE,USC,WAS,birth,"Toledo, OH",Toledo,OH,Ohio,USA
DeSean Jackson,JackDe00,2008,49,2,WR,California,PHI,birth,"Long Beach, CA",Long Beach,CA,California,USA
Calais Campbell,CampCa99,2008,50,2,DE,Miami (FL),ARI,birth,"Denver, CO",Denver,CO,Colorado,USA
Malcolm Kelly,KellMa01,2008,51,2,WR,Oklahoma,WAS,birth,"Longview, TX",Longview,TX,Texas,USA
Quentin Groves,GrovQu99,2008,52,2,DE,Auburn,JAX,birth,"Greenville, MS",Greenville,MS,Mississippi,USA
Limas Sweed,SweeLi00,2008,53,2,WR,Texas,PIT,birth,"Grimes County, TX",Grimes County,TX,Texas,USA
Jason Jones,JoneJa99,2008,54,2,DE,East. Michigan,TEN,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Ray Rice,RiceRa00,2008,55,2,RB,Rutgers,BAL,birth,"New Rochelle, NY",New Rochelle,NY,New York,USA
Brian Brohm,BrohBr00,2008,56,2,QB,Louisville,GNB,birth,"Louisville, KY",Louisville,KY,Kentucky,USA
Chad Henne,HennCh01,2008,57,2,QB,Michigan,MIA,birth,"West Lawn, PA",West Lawn,PA,Pennsylvania,USA
Dexter Jackson,JackDe01,2008,58,2,WR,Appalachian St.,TAM,birth,"Dunwoody, GA",Dunwoody,GA,Georgia,USA
Mike Pollak,PollMi20,2008,59,2,T,Arizona St.,IND,birth,"Scottsdale, AZ",Scottsdale,AZ,Arizona,USA
Patrick Lee,LeexPa99,2008,60,2,DB,Auburn,GNB,birth,"Miami, FL",Miami,FL,Florida,USA
Martellus Bennett,BennMa00,2008,61,2,TE,Texas A&M,DAL,birth,"San Diego County, TX",San Diego County,TX,Texas,USA
Terrence Wheatley,WheaTe99,2008,62,2,DB,Colorado,NWE,birth,"Walnut Creek, CA",Walnut Creek,CA,California,USA
Terrell Thomas,ThomTe99,2008,63,2,DB,USC,NYG,birth,"Los Angeles County, CA",Los Angeles County,CA,California,USA
Matthew Stafford,StafMa00,2009,1,1,QB,Georgia,DET,birth,"Tampa, FL",Tampa,FL,Florida,USA
Jason Smith,SmitJa22,2009,2,1,T,Baylor,STL,birth,"Dallas, TX",Dallas,TX,Texas,USA
Tyson Jackson,JackTy98,2009,3,1,DE,LSU,KAN,birth,"New Orleans, LA",New Orleans,LA,Louisiana,USA
Aaron Curry,CurrAa99,2009,4,1,LB,Wake Forest,SEA,birth,"Fayetteville, NC",Fayetteville,NC,North Carolina,USA
Mark Sanchez,SancMa00,2009,5,1,QB,USC,NYJ,birth,"Long Beach, CA",Long Beach,CA,California,USA
Andre Smith,SmitAn23,2009,6,1,T,Alabama,CIN,birth,"Birmingham, AL",Birmingham,AL,Alabama,USA
Darrius Heyward-Bey,HeywDa00,2009,7,1,WR,Maryland,OAK,birth,"Silver Spring, MD",Silver Spring,MD,Maryland,USA
Eugene Monroe,MonrEu20,2009,8,1,T,Virginia,JAX,birth,"Plainfiled, NJ",Plainfiled,NJ,New Jersey,USA
B.J. Raji,RajiBJ99,2009,9,1,DT,Boston Col.,GNB,birth,"New York, NY",New York,NY,New York,USA
Michael Crabtree,CrabMi00,2009,10,1,WR,Texas Tech,SFO,birth,"Dallas, TX",Dallas,TX,Texas,USA
Aaron Maybin,MaybAa99,2009,11,1,DE,Penn St.,BUF,birth,"Baltimore, MD",Baltimore,MD,Maryland,USA
Knowshon Moreno,MoreKn00,2009,12,1,RB,Georgia,DEN,birth,"Belford, NJ",Belford,NJ,New Jersey,USA
Brian Orakpo,OrakBr99,2009,13,1,LB,Texas,WAS,birth,"Houston, TX",Houston,TX,Texas,USA
Malcolm Jenkins,JenkMa99,2009,14,1,DB,Ohio St.,NOR,birth,"Piscataway, NJ",Piscataway,NJ,New Jersey,USA
Brian Cushing,CushBr99,2009,15,1,LB,USC,HOU,birth,"Park Ridge, NJ",Park Ridge,NJ,New Jersey,USA
Larry English,EnglLa99,2009,16,1,LB,Northern Illinois,SDG,birth,"Aurora, IL",Aurora,IL,Illinois,USA
Josh Freeman,FreeJo00,2009,17,1,QB,Kansas St.,TAM,birth,"Kansas City, MO",Kansas City,MO,Missouri,USA
Robert Ayers,AyerRo99,2009,18,1,DE,Tennessee,DEN,birth,"Clio, SC",Clio,SC,South Carolina,USA
Jeremy Maclin,MaclJe00,2009,19,1,WR,Missouri,PHI,birth,"Chesterfield, MO",Chesterfield,MO,Missouri,USA
Brandon Pettigrew,PettBr00,2009,20,1,TE,Oklahoma St.,DET,birth,"Tyler, TX",Tyler,TX,Texas,USA
Alex Mack,MackAl20,2009,21,1,C,California,CLE,birth,"Los Angeles, CA",Los Angeles,CA,California,USA
Percy Harvin,HarvPe00,2009,22,1,WR,Florida,MIN,birth,"Chesapeake, VA",Chesapeake,VA,Virginia,USA
Michael Oher,OherMi20,2009,23,1,T,Mississippi,BAL,birth,"Memphis, TN",Memphis,TN,Tennessee,USA
Peria Jerry,JerrPe99,2009,24,1,DT,Mississippi,ATL,birth,"Memphis, TN",Memphis,TN,Tennessee,USA
Vontae Davis,DaviVo99,2009,25,1,DB,Illinois,MIA,birth,"Washington, DC",Washington,DC,District of Columbia,USA
Clay Matthews,MattCl99,2009,26,1,LB,USC,GNB,birth,"Los Angeles, CA",Los Angeles,CA,California,USA
Donald Brown,BrowDo00,2009,27,1,RB,Connecticut,IND,birth,"Atlantic Highlands, NJ",Atlantic Highlands,NJ,New Jersey,USA
Eric Wood,WoodEr20,2009,28,1,C,Louisville,BUF,birth,"Cincinnati, OH",Cincinnati,OH,Ohio,USA
Hakeem Nicks,NickHa01,2009,29,1,WR,North Carolina,NYG,birth,"Charlotte, NC",Charlotte,NC,North Carolina,USA
Kenny Britt,BritKe00,2009,30,1,WR,Rutgers,TEN,birth,"Bayonne, NJ",Bayonne,NJ,New Jersey,USA
Chris Wells,WellCh00,2009,31,1,RB,Ohio St.,ARI,birth,"Akron, OH",Akron,OH,Ohio,USA
Evander Hood,HoodEv99,2009,32,1,DE,Missouri,PIT,birth,"Amarillo, TX",Amarillo,TX,Texas,USA
Louis Delmas,DelmLo99,2009,33,2,DB,West. Michigan,DET,birth,"Fort Pierce, FL",Fort Pierce,FL,Florida,USA
Patrick Chung,ChunPa99,2009,34,2,DB,Oregon,NWE,birth,"Kingston, Jamaica",Kingston,,,Jamaica
James Laurinaitis,LaurJa99,2009,35,2,LB,Ohio St.,STL,birth,"Hamel, MN",Hamel,MN,Minnesota,USA
Brian Robiskie,RobiBr00,2009,36,2,WR,Ohio St.,CLE,birth,"Los Angeles, CA",Los Angeles,CA,California,USA
Alphonso Smith,SmitAl98,2009,37,2,DB,Wake Forest,DEN,birth,"Pahokee, FL",Pahokee,FL,Florida,USA
Rey Maualuga,MauaRe99,2009,38,2,LB,USC,CIN,birth,"Fort Sill, OK",Fort Sill,OK,Oklahoma,USA
Eben Britton,BritEb20,2009,39,2,T,Arizona,JAX,birth,"New York, NY",New York,NY,New York,USA
Ron Brace,BracRo99,2009,40,2,DT,Boston Col.,NWE,birth,"Springfield, MA",Springfield,MA,Massachusetts,USA
Darius Butler,ButlDa99,2009,41,2,DB,Connecticut,NWE,birth,"Tamarac, FL",Tamarac,FL,Florida,USA
Jairus Byrd,ByrdJa99,2009,42,2,DB,Oregon,BUF,birth,"San Diego, CA",San Diego,CA,California,USA
Everette Brown,BrowEv99,2009,43,2,DE,Florida St.,CAR,birth,"Greenville, NC",Greenville,NC,North Carolina,USA
Pat White,WhitPa01,2009,44,2,QB,West Virginia,MIA,birth,"Mobile, AL",Mobile,AL,Alabama,USA
Clint Sintim,SintCl99,2009,45,2,LB,Virginia,NYG,birth,"Fairfax County, VA",Fairfax County,VA,Virginia,USA
Connor Barwin,BarwCo99,2009,46,2,DE,Cincinnati,HOU,birth,"Southfield, MI",Southfield,MI,Michigan,USA
Michael Mitchell,MitcMi99,2009,47,2,DB,Ohio,OAK,birth,"Fort Thomas, KY",Fort Thomas,KY,Kentucky,USA
Darcel McBath,McBaDa99,2009,48,2,DB,Texas Tech,DEN,birth,"Gainesville, TX",Gainesville,TX,Texas,USA
Max Unger,UngeMa20,2009,49,2,C,Oregon,SEA,birth,"Kailua-Kona, HI",Kailua-Kona,HI,Hawaii,USA
Mohamed Massaquoi,MassMo00,2009,50,2,WR,Georgia,CLE,birth,"Charlotte, NC",Charlotte,NC,North Carolina,USA
Andy Levitre,LeviAn20,2009,51,2,G,Oregon St.,BUF,birth,"Los Gatos, CA",Los Gatos,CA,California,USA
David Veikune,VeikDa99,2009,52,2,LB,Hawaii,CLE,birth,"Anchorage, AK",Anchorage,AK,Alaska,USA
LeSean McCoy,McCoLe01,2009,53,2,RB,Pittsburgh,PHI,birth,"Harrisburg, PA",Harrisburg,PA,Pennsylvania,USA
Phil Loadholt,LoadPh20,2009,54,2,T,Oklahoma,MIN,birth,"Honolulu, HI",Honolulu,HI,Hawaii,USA
William Moore,MoorWi99,2009,55,2,DB,Missouri,ATL,birth,"Hayti, MO",Hayti,MO,Missouri,USA
Fili Moala,MoalFi99,2009,56,2,DT,USC,IND,birth,"Buena Park, CA",Buena Park,CA,California,USA
Paul Kruger,KrugPa99,2009,57,2,DE,Utah,BAL,birth,"Rexburg, ID",Rexburg,ID,Idaho,USA
Sebastian Vollmer,VollSe20,2009,58,2,T,Houston,NWE,birth,"Dusseldorf, Germany",Dusseldorf,,,Germany
Sherrod Martin,MartSh99,2009,59,2,DB,Troy,CAR,birth,"Griffin, GA",Griffin,GA,Georgia,USA
William Beatty,BeatWi20,2009,60,2,T,Connecticut,NYG,birth,"York, PA",York,PA,Pennsylvania,USA
Sean Smith,SmitSe99,2009,61,2,DB,Utah,MIA,birth,"Pasadena, CA",Pasadena,CA,California,USA
SenDerrick Marks,MarkSe99,2009,62,2,DT,Auburn,TEN,birth,"Mobile, AL",Mobile,AL,Alabama,USA
Cody Brown,BrowCo96,2009,63,2,LB,Connecticut,ARI,birth,"Coral Springs, FL",Coral Springs,FL,Florida,USA
Richard Quinn,QuinRi00,2009,64,2,TE,North Carolina,DEN,birth,"Huntsville, AL",Huntsville,AL,Alabama,USA
Sam Bradford,BradSa00,2010,1,1,QB,Oklahoma,STL,birth,"Oklahoma City, OK",Oklahoma City,OK,Oklahoma,USA
Ndamukong Suh,SuhxNd99,2010,2,1,DT,Nebraska,DET,birth,"Portland, OR",Portland,OR,Oregon,USA
Gerald McCoy,McCoGe99,2010,3,1,DT,Oklahoma,TAM,birth,"Oklahoma City, OK",Oklahoma City,OK,Oklahoma,USA
Trent Williams,WillTr21,2010,4,1,T,Oklahoma,WAS,birth,"Longview, TX",Longview,TX,Texas,USA
Eric Berry,BerrEr99,2010,5,1,DB,Tennessee,KAN,birth,"Fairburn, GA",Fairburn,GA,Georgia,USA
Russell Okung,OkunRu20,2010,6,1,T,Oklahoma St.,SEA,birth,"Fort Bend, TX",Fort Bend,TX,Texas,USA
Joe Haden,HadeJo99,2010,7,1,DB,Florida,CLE,birth,"Fort Washington, MD",Fort Washington,MD,Maryland,USA
Rolando McClain,McClRo00,2010,8,1,LB,Alabama,OAK,birth,"Decatur, AL",Decatur,AL,Alabama,USA
C.J. Spiller,SpilC.00,2010,9,1,RB,Clemson,BUF,birth,"Lake Butler, FL",Lake Butler,FL,Florida,USA
Tyson Alualu,AluaTy99,2010,10,1,DT,California,JAX,birth,"Honolulu, HI",Honolulu,HI,Hawaii,USA
Anthony Davis,DaviAn27,2010,11,1,T,Rutgers,SFO,birth,"Piscataway, NJ",Piscataway,NJ,New Jersey,USA
Ryan Mathews,MathRy00,2010,12,1,RB,Fresno St.,SDG,birth,"Bakersfield, CA",Bakersfield,CA,California,USA
Brandon Graham,GrahBr99,2010,13,1,DE,Michigan,PHI,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Earl Thomas,ThomEa99,2010,14,1,DB,Texas,SEA,birth,"Orange, TX",Orange,TX,Texas,USA
Jason Pierre-Paul,PierJa99,2010,15,1,DE,South Florida,NYG,birth,"Deerfield Beach, FL",Deerfield Beach,FL,Florida,USA
Derrick Morgan,MorgDe99,2010,16,1,DE,Georgia Tech,TEN,birth,"Coatesville, PA",Coatesville,PA,Pennsylvania,USA
