"","country","year_code","athletes","total_medals","gold_medals","silver_medals","bronze_medals","rgb_color","image_url","detail","date","pos_date"
"16","Russia",2002,35,18,6,5,7,"rgb(0,31,152)","http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Russia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png' height='125' width='100'></td><td align='left'>Year: 2002<br>Total Medals: 18<br>Gold Medals: 6<br>Silver Medals: 5<br>Bronze Medals: 7<br>Athletes: 35</td></tr></table>",2002-02-10,1013299200000
"3","Belarus",2006,1,1,0,1,0,"rgb(58, 154, 66)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Belarus</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png' height='125' width='100'></td><td align='left'>Year: 2006<br>Total Medals: 1<br>Gold Medals: 0<br>Silver Medals: 1<br>Bronze Medals: 0<br>Athletes: 1</td></tr></table>",2006-02-10,1139529600000
"8","Estonia",2006,2,3,3,0,0,"rgb(55, 122, 11)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Estonia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png' height='125' width='100'></td><td align='left'>Year: 2006<br>Total Medals: 3<br>Gold Medals: 3<br>Silver Medals: 0<br>Bronze Medals: 0<br>Athletes: 2</td></tr></table>",2006-02-10,1139529600000
"12","Latvia",2006,1,1,0,0,1,"rgb(130,40,42)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Latvia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png' height='125' width='100'></td><td align='left'>Year: 2006<br>Total Medals: 1<br>Gold Medals: 0<br>Silver Medals: 0<br>Bronze Medals: 1<br>Athletes: 1</td></tr></table>",2006-02-10,1139529600000
"17","Russia",2006,35,41,16,12,13,"rgb(0,31,152)","http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Russia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png' height='125' width='100'></td><td align='left'>Year: 2006<br>Total Medals: 41<br>Gold Medals: 16<br>Silver Medals: 12<br>Bronze Medals: 13<br>Athletes: 35</td></tr></table>",2006-02-10,1139529600000
"20","Ukraine",2006,3,3,0,0,3,"rgb(255,208,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/200px-Flag_of_Ukraine.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Ukraine</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/200px-Flag_of_Ukraine.svg.png' height='125' width='100'></td><td align='left'>Year: 2006<br>Total Medals: 3<br>Gold Medals: 0<br>Silver Medals: 0<br>Bronze Medals: 3<br>Athletes: 3</td></tr></table>",2006-02-10,1139529600000
"5","Belarus",2010,3,3,1,1,1,"rgb(58, 154, 66)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Belarus</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png' height='125' width='100'></td><td align='left'>Year: 2010<br>Total Medals: 3<br>Gold Medals: 1<br>Silver Medals: 1<br>Bronze Medals: 1<br>Athletes: 3</td></tr></table>",2010-02-10,1.26576e+12
"7","Estonia",2010,1,1,0,1,0,"rgb(55, 122, 11)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Estonia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png' height='125' width='100'></td><td align='left'>Year: 2010<br>Total Medals: 1<br>Gold Medals: 0<br>Silver Medals: 1<br>Bronze Medals: 0<br>Athletes: 1</td></tr></table>",2010-02-10,1.26576e+12
"10","Kazakhstan",2010,1,1,0,1,0,"rgb(0,159,191)","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kazakhstan</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png' height='125' width='100'></td><td align='left'>Year: 2010<br>Total Medals: 1<br>Gold Medals: 0<br>Silver Medals: 1<br>Bronze Medals: 0<br>Athletes: 1</td></tr></table>",2010-02-10,1.26576e+12
"13","Latvia",2010,3,3,0,3,0,"rgb(130,40,42)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Latvia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png' height='125' width='100'></td><td align='left'>Year: 2010<br>Total Medals: 3<br>Gold Medals: 0<br>Silver Medals: 3<br>Bronze Medals: 0<br>Athletes: 3</td></tr></table>",2010-02-10,1.26576e+12
"18","Russia",2010,22,25,6,5,14,"rgb(0,31,152)","http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Russia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png' height='125' width='100'></td><td align='left'>Year: 2010<br>Total Medals: 25<br>Gold Medals: 6<br>Silver Medals: 5<br>Bronze Medals: 14<br>Athletes: 22</td></tr></table>",2010-02-10,1.26576e+12
