team,player,player_off_roster_13,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,total
Grizzlies,Mike Miller,FALSE,884293,NA,NA,NA,NA,NA,884293
Grizzlies,Josh Akognon,FALSE,788872,1115243,NA,NA,NA,NA,788872
Grizzlies,Willie Reed,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Grizzlies,Jamaal Franklin,FALSE,535000,816482,947276,1215696,NA,NA,2298758
Grizzlies,Nick Calathes,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Grizzlies,Fab Melo,TRUE,437080,437080,437080,NA,NA,NA,1311240
Hawks,Al Horford,FALSE,12000000,12000000,12000000,NA,NA,NA,36000000
Hawks,Paul Millsap,FALSE,9500000,9500000,NA,NA,NA,NA,19000000
Hawks,Jeff Teague,FALSE,8000000,8000000,8000000,8000000,NA,NA,32000000
Hawks,Kyle Korver,FALSE,6760563,6253521,5746479,5239437,NA,NA,24000000
Hawks,Lou Williams,FALSE,5225000,5450000,NA,NA,NA,NA,10675000
Hawks,Elton Brand,FALSE,4000000,NA,NA,NA,NA,NA,4000000
Hawks,DeMarre Carroll,FALSE,2557545,2442455,NA,NA,NA,NA,5000000
Hawks,Gustavo Ayon,FALSE,1500000,1875000,NA,NA,NA,NA,1500000
Hawks,Dennis Schroder,FALSE,1348200,1690680,1763400,2708582,3824518,NA,7510862
Hawks,John Jenkins,FALSE,1258800,1312920,2228025,3241777,NA,NA,4799745
Hawks,Jared Cunningham,FALSE,1208400,1260360,2204370,3222788,NA,NA,4673130
Hawks,Pero Antic,FALSE,1200000,1250000,1562500,NA,NA,NA,2450000
Hawks,Shelvin Mack,FALSE,884293,1148163,NA,NA,NA,NA,884293
Hawks,Mike Scott,FALSE,788872,1115243,NA,NA,NA,NA,788872
Hawks,Jeremy Tyler,TRUE,100000,NA,NA,NA,NA,NA,100000
Heat,Chris Bosh,FALSE,19067500,20590000,22112500,NA,NA,NA,61770000
Heat,LeBron James,FALSE,19067500,20590000,22112500,NA,NA,NA,61770000
Heat,Dwyane Wade,FALSE,18673000,20164000,21655000,NA,NA,NA,60492000
Heat,Udonis Haslem,FALSE,4340000,4620000,NA,NA,NA,NA,8960000
Heat,Mario Chalmers,FALSE,4000000,NA,NA,NA,NA,NA,4000000
Heat,Joel Anthony,FALSE,3800000,3800000,NA,NA,NA,NA,7600000
Heat,Shane Battier,FALSE,3270000,NA,NA,NA,NA,NA,3270000
Heat,Ray Allen,FALSE,3229050,NA,NA,NA,NA,NA,3229050
Heat,James Jones,FALSE,1500000,NA,NA,NA,NA,NA,1500000
Heat,Chris Andersen,FALSE,1399507,1448490,NA,NA,NA,NA,2847997
Heat,Rashard Lewis,FALSE,1399507,NA,NA,NA,NA,NA,1399507
Heat,Norris Cole,FALSE,1129200,2038206,3036927,NA,NA,NA,3167406
Heat,Greg Oden,FALSE,884293,NA,NA,NA,NA,NA,884293
Heat,Jarvis Varnado,FALSE,788872,1115243,NA,NA,NA,NA,788872
Heat,Justin Hamilton,FALSE,490180,1016482,NA,NA,NA,NA,490180
Heat,Michael Beasley,FALSE,1027000,NA,NA,NA,NA,NA,1027000
Jazz,Richard Jefferson,FALSE,11046000,NA,NA,NA,NA,NA,11046000
Jazz,Andris Biedrins,FALSE,9000000,NA,NA,NA,NA,NA,9000000
Jazz,Marvin Williams,FALSE,7500000,NA,NA,NA,NA,NA,7500000
Jazz,Derrick Favors,FALSE,6008196,7882754,NA,NA,NA,NA,6008196
Jazz,Enes Kanter,FALSE,4505280,5694674,7471412,NA,NA,NA,10199954
Jazz,Brandon Rush,FALSE,4000000,NA,NA,NA,NA,NA,4000000
Jazz,Gordon Hayward,FALSE,3452183,4677708,NA,NA,NA,NA,3452183
Jazz,Trey Burke,FALSE,2438760,2548560,2658240,3386598,4588840,NA,11032158
Jazz,Alec Burks,FALSE,2202000,3034356,4175274,NA,NA,NA,5236356
Jazz,Jeremy Evans,FALSE,1660257,1794872,NA,NA,NA,NA,3455129
Jazz,John Lucas III,FALSE,1600000,1600000,NA,NA,NA,NA,3200000
Jazz,Rudy Gobert,FALSE,1078800,1127400,1175880,2121288,3145869,NA,5503368
Jazz,Jerel McNeal,FALSE,884293,948163,NA,NA,NA,NA,1832456
Jazz,Ian Clark,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Kings,Marcus Thornton,FALSE,8050000,8575000,NA,NA,NA,NA,16625000
Kings,John Salmons,FALSE,7583000,7000000,NA,NA,NA,NA,14583000
Kings,Carl Landry,FALSE,6500000,6500000,6500000,6500000,NA,NA,26000000
Kings,Chuck Hayes,FALSE,5722500,5958750,NA,NA,NA,NA,11681250
Kings,Jason Thompson,FALSE,5643750,6037500,6431250,6825000,NA,NA,24937500
Kings,DeMarcus Cousins,FALSE,4916974,6519907,NA,NA,NA,NA,4916974
Kings,Luc Mbah A Moute,FALSE,4588384,4382576,NA,NA,NA,NA,8970960
Kings,Patrick Patterson,FALSE,3105301,4319474,NA,NA,NA,NA,3105301
Kings,Travis Outlaw,FALSE,3000000,3000000,NA,NA,NA,NA,6000000
Kings,Ben McLemore,FALSE,2895960,3026280,3156600,4008882,5375911,NA,13087722
