Player_Name,Draft_Year,Player_Combine_Year,Player_Height_WO_Shoes,Player_Height_WO_Shoes_Inches,Player_Height_W_Shoes,Player_Height_W_Shoes_Inches,Player_Height,Player_Height_Inches,Player_Weight_LBS,Player_Wingspan,Player_Wingspan_Inches,Player_Reach,Player_Reach_Inches,Player_Bodyfat_Percent,Player_Hand_Length_Inches,Player_Hand_Width_Inches,Player_Vertical_No_Step,Player_Vertical_No_Step_Reach,Player_Vertical_No_Step_Reach_Inches,Player_Max_Vertical_Inches,Player_Max_Vertical_Reach,Player_Max_Vertical_Reach_Inches,Player_Bench_225,Player_Agility_Seconds,Player_Sprint_Three_Quarter_Court,Player_Rank,Pick,Player_DraftExpress_Profile,Player_DraftExpress_Stats,Player_DBPedia_URL,Player_DBPedia_Data,ID.Pick,Round,Round.Pick,Pick_2,Draft_Franchise,Postdraft_Franchise,Player_Drafted_From,Player_Birthday
Aaron McGhee,2002,2002,"6'7""",79,"6'8""",80,6.666664,80,255,"6'10""",82,"8'9.5""",105.5,NA,NA,NA,26,"10'11.5""",131.5,28.5,"11'2""",134,NA,12.24,NA,78,NA,draftexpress.com/profile/Aaron-McGhee-34335/,draftexpress.com/profile/Aaron-McGhee-34335/stats,live.dbpedia.org/page/Aaron_McGhee,live.dbpedia.org/data/Aaron_McGhee.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron McKie,1994,1994,"6'4.5""",76.5,NA,NA,6.47499741,77.7,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,draftexpress.com/profile/Aaron-Mckie-3534/,draftexpress.com/profile/Aaron-Mckie-3534/stats,live.dbpedia.org/page/Aaron_McKie,live.dbpedia.org/data/Aaron_McKie.json,1.17,1,17,17,Trail Blazers,Trail Blazers,Temple,10/2/72
Aaron Miles,2005,2005,"6'0""",72,"6'1.5""",73.5,6.12499755,73.5,175,"6'3.5""",75.5,"7'10""",94,NA,NA,NA,32,"10'6""",126,37.5,"10'11.5""",131.5,7,10.69,3.22,20,NA,draftexpress.com/profile/Aaron-Miles-73/,draftexpress.com/profile/Aaron-Miles-73/stats,live.dbpedia.org/page/Aaron_Miles,live.dbpedia.org/data/Aaron_Miles.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Nixon,2007,2007,"6'1.5""",73.5,"6'2.5""",74.5,6.20833085,74.5,220,"6'9.25""",81.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Nixon-26574/,draftexpress.com/profile/Aaron-Nixon-26574/stats,live.dbpedia.org/page/Aaron_Nixon,live.dbpedia.org/data/Aaron_Nixon.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Ross,2010,2010,"6'6""",78,NA,NA,6.59999736,79.2,220,"6'11""",83,"8'7""",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Ross-42283/,draftexpress.com/profile/Aaron-Ross-42283/stats,live.dbpedia.org/page/Aaron_Ross,live.dbpedia.org/data/Aaron_Ross.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Roundtree,2011,2011,NA,NA,"6'7""",79,6.5833307,79,173,"6'11""",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Roundtree-65311/,draftexpress.com/profile/Aaron-Roundtree-65311/stats,live.dbpedia.org/page/Aaron_Roundtree,live.dbpedia.org/data/Aaron_Roundtree.json,NA,NA,NA,NA,NA,NA,NA,NA
Abdel Kader Sylla,2011,2011,"6'7.53""",79.53,"6'8.71""",80.71,6.725830643,80.71,219,"7'4.98""",88.98,"8'10.30""",106.3,0.076,NA,NA,23.8,"10'10.10""",130.1,31.6,"11'5.90""",137.9,NA,NA,3.41,NA,NA,draftexpress.com/profile/Abdel-Kader-Sylla-6400/,draftexpress.com/profile/Abdel-Kader-Sylla-6400/stats,live.dbpedia.org/page/Abdel_Kader_Sylla,live.dbpedia.org/data/Abdel_Kader_Sylla.json,NA,NA,NA,NA,NA,NA,NA,NA
Abdoulaye Loum,2012,2012,"6'9.25""",81.25,"6'10""",82,6.8333306,82,208,"7'3""",87,"9'2.5""",110.5,NA,NA,NA,27.5,"11'6""",138,30,"11'8.5""",140.5,NA,13.36,3.53,NA,NA,draftexpress.com/profile/Abdoulaye-Loum-6305/,draftexpress.com/profile/Abdoulaye-Loum-6305/stats,live.dbpedia.org/page/Abdoulaye_Loum,live.dbpedia.org/data/Abdoulaye_Loum.json,NA,NA,NA,NA,NA,NA,NA,NA
Abdoulaye Mbaye,2009,2009,"6'0.75""",72.75,"6'1.75""",73.75,6.145830875,73.75,211,"6'5.75""",77.75,"8'3""",99,NA,NA,NA,28,"10'7""",127,30,"10'9""",129,NA,NA,3.57,NA,NA,draftexpress.com/profile/Abdoulaye-Mbaye-5484/,draftexpress.com/profile/Abdoulaye-Mbaye-5484/stats,live.dbpedia.org/page/Abdoulaye_Mbaye,live.dbpedia.org/data/Abdoulaye_Mbaye.json,NA,NA,NA,NA,NA,NA,NA,NA
Abdoulaye Mbaye,2010,2010,"6'0.83""",72.83,"6'2.41""",74.41,6.200830853,74.41,212,"6'5.95""",77.95,"8'2.03""",98.03,NA,NA,NA,30.3,"10'8.33""",128.33,34.6,"11'0.63""",132.63,NA,NA,NA,NA,NA,draftexpress.com/profile/Abdoulaye-Mbaye-5484/,draftexpress.com/profile/Abdoulaye-Mbaye-5484/stats,live.dbpedia.org/page/Abdoulaye_Mbaye,live.dbpedia.org/data/Abdoulaye_Mbaye.json,NA,NA,NA,NA,NA,NA,NA,NA
