league,team,player,player_off_roster_13_14,season,id_contract_type,salary
nba,Cavaliers,Tyler Zeller,FALSE,2016-2017,QO,3695169
nba,Cavaliers,Sergey Karasev,FALSE,2016-2017,TO,2463754
nba,Cavaliers,Carrick Felix,FALSE,2016-2017,TO,1015696
nba,Cavaliers,Anthony Bennett,FALSE,2017-2018,QO,9513776
nba,Cavaliers,Sergey Karasev,FALSE,2017-2018,QO,3513313
nba,Celtics,Kris Humphries,FALSE,2013-2014,G,12000000
nba,Celtics,Rajon Rondo,FALSE,2013-2014,G,11954545
nba,Celtics,Gerald Wallace,FALSE,2013-2014,G,10105855
nba,Celtics,Jeff Green,FALSE,2013-2014,G,8700000
nba,Celtics,Brandon Bass,FALSE,2013-2014,G,6450000
nba,Celtics,Courtney Lee,FALSE,2013-2014,G,5225000
nba,Celtics,Keith Bogans,FALSE,2013-2014,G,5058198
nba,Celtics,Avery Bradley,FALSE,2013-2014,G,2511432
nba,Celtics,Jordan Crawford,FALSE,2013-2014,G,2162419
nba,Celtics,Victor Faverani,FALSE,2013-2014,G,2000000
nba,Celtics,Kelly Olynyk,FALSE,2013-2014,G,1986360
nba,Celtics,Jared Sullinger,FALSE,2013-2014,G,1365720
nba,Celtics,MarShon Brooks,FALSE,2013-2014,G,1210080
nba,Celtics,Donte Greene,FALSE,2013-2014,U,1027424
nba,Celtics,Phil Pressey,FALSE,2013-2014,G,490180
nba,Celtics,Rajon Rondo,FALSE,2014-2015,G,12909091
nba,Celtics,Gerald Wallace,FALSE,2014-2015,G,10105855
nba,Celtics,Jeff Green,FALSE,2014-2015,G,9200000
nba,Celtics,Brandon Bass,FALSE,2014-2015,G,6900000
nba,Celtics,Courtney Lee,FALSE,2014-2015,G,5450000
nba,Celtics,Keith Bogans,FALSE,2014-2015,U,5285817
nba,Celtics,Avery Bradley,FALSE,2014-2015,QO,3581302
nba,Celtics,Jordan Crawford,FALSE,2014-2015,QO,3206867
nba,Celtics,Victor Faverani,FALSE,2014-2015,G,2090000
nba,Celtics,Kelly Olynyk,FALSE,2014-2015,G,2075760
nba,Celtics,Jared Sullinger,FALSE,2014-2015,TO,1424520
nba,Celtics,MarShon Brooks,FALSE,2014-2015,TO,2179354
nba,Celtics,Donte Greene,FALSE,2014-2015,U,1145685
nba,Celtics,Phil Pressey,FALSE,2014-2015,U,816482
nba,Celtics,Gerald Wallace,FALSE,2015-2016,G,10105855
nba,Celtics,Jeff Green,FALSE,2015-2016,PO,9200000
nba,Celtics,Courtney Lee,FALSE,2015-2016,G,5675000
nba,Celtics,Keith Bogans,FALSE,2015-2016,U,5513435
nba,Celtics,Victor Faverani,FALSE,2015-2016,U,2180000
nba,Celtics,Kelly Olynyk,FALSE,2015-2016,TO,2165160
nba,Celtics,Jared Sullinger,FALSE,2015-2016,TO,2269260
nba,Celtics,MarShon Brooks,FALSE,2015-2016,QO,3201471
nba,Celtics,Phil Pressey,FALSE,2015-2016,U,947276
nba,Celtics,Victor Faverani,FALSE,2016-2017,QO,2725000
nba,Celtics,Kelly Olynyk,FALSE,2016-2017,TO,3094013
nba,Celtics,Jared Sullinger,FALSE,2016-2017,QO,3270004
nba,Celtics,Phil Pressey,FALSE,2016-2017,QO,1215696
nba,Celtics,Kelly Olynyk,FALSE,2017-2018,QO,4279021
nba,Clippers,Chris Paul,FALSE,2013-2014,G,18668431
nba,Clippers,Blake Griffin,FALSE,2013-2014,G,16441500
nba,Clippers,DeAndre Jordan,FALSE,2013-2014,G,10986550
nba,Clippers,J.J. Redick,FALSE,2013-2014,G,6500000
nba,Clippers,Jamal Crawford,FALSE,2013-2014,G,5225000
nba,Clippers,Jared Dudley,FALSE,2013-2014,G,4250000
nba,Clippers,Matt Barnes,FALSE,2013-2014,G,3250000
nba,Clippers,Darren Collison,FALSE,2013-2014,G,1900000
nba,Clippers,Willie Green,FALSE,2013-2014,G,1399507
nba,Clippers,Reggie Bullock,FALSE,2013-2014,G,1149000
nba,Clippers,Byron Mullens,FALSE,2013-2014,G,947907
nba,Clippers,Ryan Hollins,FALSE,2013-2014,G,884293
nba,Clippers,Antawn Jamison,FALSE,2013-2014,G,884293
nba,Clippers,Maalik Wayns,FALSE,2013-2014,U,788872
nba,Clippers,Brandon Davies,FALSE,2013-2014,U,490180
nba,Clippers,Chris Paul,FALSE,2014-2015,G,20068563
nba,Clippers,Blake Griffin,FALSE,2014-2015,G,17674613
nba,Clippers,DeAndre Jordan,FALSE,2014-2015,G,11440123
nba,Clippers,J.J. Redick,FALSE,2014-2015,G,6792500
nba,Clippers,Jamal Crawford,FALSE,2014-2015,U,5450000
nba,Clippers,Jared Dudley,FALSE,2014-2015,G,4250000
nba,Clippers,Matt Barnes,FALSE,2014-2015,G,3396250
nba,Clippers,Darren Collison,FALSE,2014-2015,PO,1985500
nba,Clippers,Willie Green,FALSE,2014-2015,U,1448490
nba,Clippers,Reggie Bullock,FALSE,2014-2015,G,1200720
nba,Clippers,Byron Mullens,FALSE,2014-2015,PO,1063384
nba,Clippers,Maalik Wayns,FALSE,2014-2015,QO,1115243
nba,Clippers,Brandon Davies,FALSE,2014-2015,U,816482
nba,Clippers,Chris Paul,FALSE,2015-2016,G,21468695
nba,Clippers,Blake Griffin,FALSE,2015-2016,G,18907725
nba,Clippers,J.J. Redick,FALSE,2015-2016,G,7085000
nba,Clippers,Jamal Crawford,FALSE,2015-2016,U,5675000
nba,Clippers,Jared Dudley,FALSE,2015-2016,ETO,4250000
nba,Clippers,Matt Barnes,FALSE,2015-2016,U,3542500
nba,Clippers,Reggie Bullock,FALSE,2015-2016,TO,1252440
nba,Clippers,Brandon Davies,FALSE,2015-2016,QO,1147276
nba,Clippers,Chris Paul,FALSE,2016-2017,G,22868827
nba,Clippers,Blake Griffin,FALSE,2016-2017,G,20140838
nba,Clippers,J.J. Redick,FALSE,2016-2017,G,7377500
nba,Clippers,Reggie Bullock,FALSE,2016-2017,TO,2255644
nba,Clippers,Chris Paul,FALSE,2017-2018,ETO,24268959
nba,Clippers,Blake Griffin,FALSE,2017-2018,ETO,21373950
nba,Clippers,Reggie Bullock,FALSE,2017-2018,QO,3313542
nba,Grizzlies,Zach Randolph,FALSE,2013-2014,G,18238333
nba,Grizzlies,Marc Gasol,FALSE,2013-2014,G,14860523
nba,Grizzlies,Mike Conley,FALSE,2013-2014,G,8600001
nba,Grizzlies,Tayshaun Prince,FALSE,2013-2014,G,7235955
nba,Grizzlies,Tony Allen,FALSE,2013-2014,G,4494383
nba,Grizzlies,Ed Davis,FALSE,2013-2014,G,3153860
nba,Grizzlies,Jerryd Bayless,FALSE,2013-2014,G,3135000
nba,Grizzlies,Kosta Koufos,FALSE,2013-2014,G,3000000
nba,Grizzlies,Quincy Pondexter,FALSE,2013-2014,G,2225479
nba,Grizzlies,Jon Leuer,FALSE,2013-2014,G,900000
nba,Grizzlies,Mike Miller,FALSE,2013-2014,G,884293
nba,Grizzlies,Josh Akognon,FALSE,2013-2014,U,788872
nba,Grizzlies,Willie Reed,FALSE,2013-2014,U,788872
nba,Grizzlies,Jamaal Franklin,FALSE,2013-2014,G,535000
nba,Grizzlies,Nick Calathes,FALSE,2013-2014,G,490180
nba,Grizzlies,Fab Melo,TRUE,2013-2014,G,437080
nba,Grizzlies,Zach Randolph,FALSE,2014-2015,PO,16938333
nba,Grizzlies,Marc Gasol,FALSE,2014-2015,G,15829688
nba,Grizzlies,Mike Conley,FALSE,2014-2015,G,9294216
nba,Grizzlies,Tayshaun Prince,FALSE,2014-2015,G,7707865
nba,Grizzlies,Tony Allen,FALSE,2014-2015,G,4831461
nba,Grizzlies,Ed Davis,FALSE,2014-2015,QO,4361789
nba,Grizzlies,Kosta Koufos,FALSE,2014-2015,U,3000000
nba,Grizzlies,Quincy Pondexter,FALSE,2014-2015,QO,3284807
nba,Grizzlies,Jon Leuer,FALSE,2014-2015,G,967500
nba,Grizzlies,Josh Akognon,FALSE,2014-2015,QO,1115243
nba,Grizzlies,Willie Reed,FALSE,2014-2015,U,915243
nba,Grizzlies,Jamaal Franklin,FALSE,2014-2015,G,816482
nba,Grizzlies,Nick Calathes,FALSE,2014-2015,U,816482
nba,Grizzlies,Fab Melo,TRUE,2014-2015,G,437080
nba,Grizzlies,Mike Conley,FALSE,2015-2016,G,9988426
nba,Grizzlies,Tony Allen,FALSE,2015-2016,G,5168539
nba,Grizzlies,Jon Leuer,FALSE,2015-2016,U,1035000
nba,Grizzlies,Willie Reed,FALSE,2015-2016,QO,1181348
nba,Grizzlies,Jamaal Franklin,FALSE,2015-2016,U,947276
nba,Grizzlies,Nick Calathes,FALSE,2015-2016,QO,1147276
nba,Grizzlies,Fab Melo,TRUE,2015-2016,G,437080
nba,Grizzlies,Tony Allen,FALSE,2016-2017,G,5505618
nba,Grizzlies,Jamaal Franklin,FALSE,2016-2017,QO,1215696
nba,Hawks,Al Horford,FALSE,2013-2014,G,12000000
nba,Hawks,Paul Millsap,FALSE,2013-2014,G,9500000
nba,Hawks,Jeff Teague,FALSE,2013-2014,G,8000000
nba,Hawks,Kyle Korver,FALSE,2013-2014,G,6760563
nba,Hawks,Lou Williams,FALSE,2013-2014,G,5225000
nba,Hawks,Elton Brand,FALSE,2013-2014,G,4000000
nba,Hawks,DeMarre Carroll,FALSE,2013-2014,G,2557545
nba,Hawks,Gustavo Ayon,FALSE,2013-2014,G,1500000
nba,Hawks,Dennis Schroder,FALSE,2013-2014,G,1348200
nba,Hawks,John Jenkins,FALSE,2013-2014,G,1258800
nba,Hawks,Jared Cunningham,FALSE,2013-2014,G,1208400
nba,Hawks,Pero Antic,FALSE,2013-2014,G,1200000
nba,Hawks,Shelvin Mack,FALSE,2013-2014,U,884293
nba,Hawks,Mike Scott,FALSE,2013-2014,U,788872
nba,Hawks,Jeremy Tyler,TRUE,2013-2014,G,100000
nba,Hawks,Al Horford,FALSE,2014-2015,G,12000000
nba,Hawks,Paul Millsap,FALSE,2014-2015,G,9500000
nba,Hawks,Jeff Teague,FALSE,2014-2015,G,8000000
nba,Hawks,Kyle Korver,FALSE,2014-2015,G,6253521
nba,Hawks,Lou Williams,FALSE,2014-2015,G,5450000
nba,Hawks,DeMarre Carroll,FALSE,2014-2015,G,2442455
nba,Hawks,Gustavo Ayon,FALSE,2014-2015,QO,1875000
nba,Hawks,Dennis Schroder,FALSE,2014-2015,G,1690680
nba,Hawks,John Jenkins,FALSE,2014-2015,TO,1312920
nba,Hawks,Jared Cunningham,FALSE,2014-2015,TO,1260360
nba,Hawks,Pero Antic,FALSE,2014-2015,U,1250000
nba,Hawks,Shelvin Mack,FALSE,2014-2015,QO,1148163
nba,Hawks,Mike Scott,FALSE,2014-2015,QO,1115243
nba,Hawks,Al Horford,FALSE,2015-2016,G,12000000
nba,Hawks,Jeff Teague,FALSE,2015-2016,G,8000000
nba,Hawks,Kyle Korver,FALSE,2015-2016,G,5746479
nba,Hawks,Dennis Schroder,FALSE,2015-2016,TO,1763400
nba,Hawks,John Jenkins,FALSE,2015-2016,TO,2228025
nba,Hawks,Jared Cunningham,FALSE,2015-2016,TO,2204370
nba,Hawks,Pero Antic,FALSE,2015-2016,QO,1562500
nba,Hawks,Jeff Teague,FALSE,2016-2017,G,8000000
nba,Hawks,Kyle Korver,FALSE,2016-2017,G,5239437
nba,Hawks,Dennis Schroder,FALSE,2016-2017,TO,2708582
nba,Hawks,John Jenkins,FALSE,2016-2017,QO,3241777
nba,Hawks,Jared Cunningham,FALSE,2016-2017,QO,3222788
nba,Hawks,Dennis Schroder,FALSE,2017-2018,QO,3824518
nba,Heat,Chris Bosh,FALSE,2013-2014,G,19067500
nba,Heat,LeBron James,FALSE,2013-2014,G,19067500
nba,Heat,Dwyane Wade,FALSE,2013-2014,G,18673000
nba,Heat,Udonis Haslem,FALSE,2013-2014,G,4340000
nba,Heat,Mario Chalmers,FALSE,2013-2014,G,4000000
nba,Heat,Joel Anthony,FALSE,2013-2014,G,3800000
nba,Heat,Shane Battier,FALSE,2013-2014,G,3270000
nba,Heat,Ray Allen,FALSE,2013-2014,G,3229050
nba,Heat,James Jones,FALSE,2013-2014,G,1500000
nba,Heat,Chris Andersen,FALSE,2013-2014,G,1399507
nba,Heat,Rashard Lewis,FALSE,2013-2014,G,1399507
nba,Heat,Norris Cole,FALSE,2013-2014,G,1129200
nba,Heat,Greg Oden,FALSE,2013-2014,G,884293
nba,Heat,Jarvis Varnado,FALSE,2013-2014,U,788872
nba,Heat,Justin Hamilton,FALSE,2013-2014,U,490180
nba,Heat,Chris Bosh,FALSE,2014-2015,ETO,20590000
nba,Heat,LeBron James,FALSE,2014-2015,ETO,20590000
nba,Heat,Dwyane Wade,FALSE,2014-2015,ETO,20164000
nba,Heat,Udonis Haslem,FALSE,2014-2015,PO,4620000
nba,Heat,Joel Anthony,FALSE,2014-2015,PO,3800000
nba,Heat,Chris Andersen,FALSE,2014-2015,PO,1448490
nba,Heat,Norris Cole,FALSE,2014-2015,TO,2038206
nba,Heat,Jarvis Varnado,FALSE,2014-2015,QO,1115243
nba,Heat,Justin Hamilton,FALSE,2014-2015,QO,1016482
