"","player","league","team","player_off_roster_13_14","season","id_contract_type","salary","agency","agent","salary_amnesty"
"32","Alonzo Gee","nba","Cavaliers",FALSE,"2013-2014","G",3250000,"Relativity Sports","Happy Walters",FALSE
"33","Amar'e Stoudemire","nba","Knicks",FALSE,"2013-2014","G",21679893,"Relativity Sports","Dan Fegan",FALSE
"34","Amar'e Stoudemire","nba","Knicks",FALSE,"2014-2015","ETO",23410988,"Relativity Sports","Dan Fegan",FALSE
"35","Amir Johnson","nba","Raptors",FALSE,"2014-2015","U",7000000,"BDA Sports Management","Kevin Bradbury",FALSE
"36","Amir Johnson","nba","Raptors",FALSE,"2013-2014","G",6500000,"BDA Sports Management","Kevin Bradbury",FALSE
"37","Anderson Varejao","nba","Cavaliers",FALSE,"2014-2015","U",9704545,"Relativity Sports","Dan Fegan",FALSE
"38","Anderson Varejao","nba","Cavaliers",FALSE,"2013-2014","G",9036364,"Relativity Sports","Dan Fegan",FALSE
"39","Andray Blatche","nba","Nets",FALSE,"2014-2015","PO",1437506,"ASM Sports","Andy Miller",FALSE
"40","Andray Blatche","nba","Nets",FALSE,"2013-2014","G",1375604,"ASM Sports","Andy Miller",FALSE
"41","Andre Drummond","nba","Pistons",FALSE,"2013-2014","G",2462400,"Landmark Sports Agency","Rob Pelinka",FALSE
"42","Andre Drummond","nba","Pistons",FALSE,"2016-2017","QO",4433683,"Landmark Sports Agency","Rob Pelinka",FALSE
"43","Andre Drummond","nba","Pistons",FALSE,"2014-2015","TO",2568360,"Landmark Sports Agency","Rob Pelinka",FALSE
"44","Andre Drummond","nba","Pistons",FALSE,"2015-2016","TO",3272091,"Landmark Sports Agency","Rob Pelinka",FALSE
"45","Andre Iguodala","nba","Warriors",FALSE,"2014-2015","G",12289544,"Landmark Sports Agency","Rob Pelinka",FALSE
"46","Andre Iguodala","nba","Warriors",FALSE,"2015-2016","G",11710456,"Landmark Sports Agency","Rob Pelinka",FALSE
"47","Andre Iguodala","nba","Warriors",FALSE,"2013-2014","G",12868632,"Landmark Sports Agency","Rob Pelinka",FALSE
"48","Andre Iguodala","nba","Warriors",FALSE,"2016-2017","G",11131368,"Landmark Sports Agency","Rob Pelinka",FALSE
"49","Andre Miller","nba","Nuggets",FALSE,"2013-2014","G",5000000,"ASM Sports","Andy Miller",FALSE
"50","Andre Miller","nba","Nuggets",FALSE,"2014-2015","U",4625000,"ASM Sports","Andy Miller",FALSE
"51","Andre Roberson","nba","Thunder",FALSE,"2013-2014","G",740560,"BDA Sports Management","Bill Duffy",FALSE
"52","Andre Roberson","nba","Thunder",FALSE,"2014-2015","G",1160880,"BDA Sports Management","Bill Duffy",FALSE
"53","Andre Roberson","nba","Thunder",FALSE,"2016-2017","TO",2183072,"BDA Sports Management","Bill Duffy",FALSE
"54","Andre Roberson","nba","Thunder",FALSE,"2015-2016","TO",1210800,"BDA Sports Management","Bill Duffy",FALSE
"55","Andre Roberson","nba","Thunder",FALSE,"2017-2018","QO",3222215,"BDA Sports Management","Bill Duffy",FALSE
"56","Andrea Bargnani","nba","Knicks",FALSE,"2013-2014","G",11862500,"Creative Artists Agency","Leon Rose",FALSE
"57","Andrea Bargnani","nba","Knicks",FALSE,"2014-2015","ETO",11500000,"Creative Artists Agency","Leon Rose",FALSE
"58","Andrei Kirilenko","nba","Nets",FALSE,"2013-2014","G",3183000,"Entersport","Marc Fleisher",FALSE
"59","Andrei Kirilenko","nba","Nets",FALSE,"2014-2015","PO",3326235,"Entersport","Marc Fleisher",FALSE
"60","Andrew Bogut","nba","Warriors",FALSE,"2013-2014","G",14000000,"Lagardere Unlimited","David Bauman",FALSE
