"","rank","team","value","value_change","revenue","operating_income","debt_percent","year","fname","player_expense","gate_receipt"
"95",8,"Phoenix Suns",272,13,NA,18.5,NA,2003,"NBATeamValues03.xls",NA,NA
"96",9,"Portland Trail Blazers",270,10,NA,-22.8,NA,2003,"NBATeamValues03.xls",NA,NA
"97",10,"Sacramento Kings",259,14,NA,13.5,NA,2003,"NBATeamValues03.xls",NA,NA
"98",11,"Detroit Pistons",258,13,NA,12.9,NA,2003,"NBATeamValues03.xls",NA,NA
"99",12,"Houston Rockets",255,13,NA,6.7,NA,2003,"NBATeamValues03.xls",NA,NA
"100",13,"Miami Heat",250,20,NA,8.1,NA,2003,"NBATeamValues03.xls",NA,NA
"101",14,"Indiana Pacers",246,18,NA,3.1,NA,2003,"NBATeamValues03.xls",NA,NA
"102",15,"San Antonio Spurs",242,14,NA,8.3,NA,2003,"NBATeamValues03.xls",NA,NA
"103",16,"Utah Jazz",226,14,NA,1.9,NA,2003,"NBATeamValues03.xls",NA,NA
"104",17,"Cleveland Cavaliers",222,14,NA,5.9,NA,2003,"NBATeamValues03.xls",NA,NA
"105",18,"New Jersey Nets",218,10,NA,4.5,NA,2003,"NBATeamValues03.xls",NA,NA
"106",19,"Toronto Raptors",217,15,NA,4.5,NA,2003,"NBATeamValues03.xls",NA,NA
"107",20,"Minnesota Timberwolves",213,13,NA,8.8,NA,2003,"NBATeamValues03.xls",NA,NA
"108",21,"Denver Nuggets",209,NA,NA,-5,NA,2003,"NBATeamValues03.xls",NA,NA
"109",22,"Seattle Supersonics",207,NA,NA,6.3,NA,2003,"NBATeamValues03.xls",NA,NA
"110",23,"Atlanta Hawks",206,NA,NA,4.2,NA,2003,"NBATeamValues03.xls",NA,NA
"111",24,"Los Angeles Clippers",205,14,NA,16.3,NA,2003,"NBATeamValues03.xls",NA,NA
"112",25,"Memphis Grizzlies",198,NA,NA,0.6,NA,2003,"NBATeamValues03.xls",NA,NA
"113",26,"Orlando Magic",197,8,NA,8.2,NA,2003,"NBATeamValues03.xls",NA,NA
"114",27,"Golden State Warriors",176,6,NA,-0.6,NA,2003,"NBATeamValues03.xls",NA,NA
"115",28,"New Orleans Hornets",172,13,NA,-8.3,NA,2003,"NBATeamValues03.xls",NA,NA
"116",29,"Milwaukee Bucks",168,14,NA,-8.5,NA,2003,"NBATeamValues03.xls",NA,NA
"117",1,"Los Angeles Lakers",447,5,149,22.8,30,2004,"NBATeamValues04.xls",NA,NA
"118",2,"New York Knicks",401,1,160,13.5,62,2004,"NBATeamValues04.xls",NA,NA
"119",3,"Chicago Bulls",356,10,119,49,7,2004,"NBATeamValues04.xls",NA,NA
"120",4,"Dallas Mavericks",338,11,117,-17.7,44,2004,"NBATeamValues04.xls",NA,NA
"121",5,"Philadelphia 76ers",328,10,109,2,20,2004,"NBATeamValues04.xls",NA,NA
"122",6,"Boston Celtics",290,6,97,25.6,62,2004,"NBATeamValues04.xls",NA,NA
"123",7,"Detroit Pistons",284,10,102,23.5,0,2004,"NBATeamValues04.xls",NA,NA
"124",8,"San Antonio Spurs",283,24,105,18.5,46,2004,"NBATeamValues04.xls",NA,NA
"125",9,"Phoenix Suns",282,4,109,21.5,46,2004,"NBATeamValues04.xls",NA,NA
"126",10,"Indiana Pacers",280,14,94,10.1,18,2004,"NBATeamValues04.xls",NA,NA
