"","latitude","longitude","popup","fillColor"
"23",41.8781136,-87.6463982,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dwyane Wade</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dwyane Wade+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Chicago, IL, USA<br>Years: 10<br>PPG: 24.7<br>MPG: 36.9<br>FG: 48.9<br>APG: 6.1<br>RPG: 5.1<br>3PT Percentage: 28.9<br>FT Percentage: 76.7</td></tr></table>","#0000bf"
"24",38.9072309,-76.9794641,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Adrian Dantley</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Adrian Dantley+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Washington, DC, USA<br>Years: 15<br>PPG: 24.3<br>MPG: 35.8<br>FG: 54<br>APG: 3<br>RPG: 5.7<br>3PT Percentage: 17.1<br>FT Percentage: 81.8</td></tr></table>","#0000bf"
"25",42.328827,-83.0531538,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>George Gervin</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=George Gervin+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Detroit, MI, USA<br>Years: 14<br>PPG: 25.1<br>MPG: 33.6<br>FG: 50.4<br>APG: 2.6<br>RPG: 5.3<br>3PT Percentage: 27.1<br>FT Percentage: 84.1</td></tr></table>","#0000bf"
"26",40.678713,-73.5890168,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Julius Erving</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Julius Erving+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Roosevelt, NY, USA<br>Years: 16<br>PPG: 24.2<br>MPG: 36.4<br>FG: 50.6<br>APG: 4.2<br>RPG: 8.5<br>3PT Percentage: 29.8<br>FT Percentage: 77.7</td></tr></table>","#0000bf"
"27",40.615537,-80.2621852,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Pete Maravich</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Pete Maravich+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Aliquippa, PA, USA<br>Years: 10<br>PPG: 24.2<br>MPG: 37<br>FG: 44.1<br>APG: 5.4<br>RPG: 4.2<br>3PT Percentage: 66.7<br>FT Percentage: 82</td></tr></table>","#0000bf"
"28",36.0726354,-79.7719754,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Bob McAdoo</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob McAdoo+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Greensboro, NC, USA<br>Years: 14<br>PPG: 22.1<br>MPG: 33.2<br>FG: 50.3<br>APG: 2.3<br>RPG: 9.4<br>3PT Percentage: 8.1<br>FT Percentage: 75.4</td></tr></table>","#036c26"
"29",36.9886043,-86.4996546,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Darel Carrier</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Darel Carrier+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Warren County, KY, USA<br>Years: 6<br>PPG: 20<br>MPG: 35.3<br>FG: 41.7<br>APG: 2.6<br>RPG: 3.4<br>3PT Percentage: 37.7<br>FT Percentage: 85.1</td></tr></table>","#036c26"
"30",37.3021632,-120.4829677,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Ray Allen</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Ray Allen+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Merced, CA, USA<br>Years: 17<br>PPG: 19.4<br>MPG: 36.2<br>FG: 45.2<br>APG: 3.4<br>RPG: 4.1<br>3PT Percentage: 40.1<br>FT Percentage: 89.4</td></tr></table>","#036c26"
"31",35.6178951,-82.3212302,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brad Daugherty</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Brad Daugherty+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Black Mountain, NC, USA<br>Years: 8<br>PPG: 19<br>MPG: 36.5<br>FG: 53.2<br>APG: 3.7<br>RPG: 9.5<br>3PT Percentage: 14.3<br>FT Percentage: 74.7</td></tr></table>","#036c26"
"32",39.9611755,-82.9947942,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Michael Redd</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Michael Redd+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Columbus, OH, USA<br>Years: 12<br>PPG: 19<br>MPG: 32<br>FG: 44.7<br>APG: 2.1<br>RPG: 3.8<br>3PT Percentage: 38<br>FT Percentage: 83.8</td></tr></table>","#036c26"
"33",37.8043637,-122.2561137,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Paul Pierce</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Paul Pierce+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Oakland, CA, USA<br>Years: 15<br>PPG: 21.8<br>MPG: 36.6<br>FG: 44.7<br>APG: 3.9<br>RPG: 6<br>3PT Percentage: 37<br>FT Percentage: 80.6</td></tr></table>","#036c26"
"34",33.7489954,-84.3859824,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Mike Mitchell</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Mike Mitchell+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Atlanta, GA, USA<br>Years: 10<br>PPG: 19.8<br>MPG: 32.3<br>FG: 49.3<br>APG: 1.3<br>RPG: 5.6<br>3PT Percentage: 21.6<br>FT Percentage: 77.9</td></tr></table>","#036c26"
"35",31.230416,121.473701,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Yao Ming</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Yao Ming+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Shanghai, China<br>Years: 8<br>PPG: 19<br>MPG: 32.5<br>FG: 52.4<br>APG: 1.6<br>RPG: 9.2<br>3PT Percentage: 20<br>FT Percentage: 83.3</td></tr></table>","#036c26"
"36",34.77873,-82.310119,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kevin Garnett</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kevin Garnett+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Mauldin, SC, USA<br>Years: 18<br>PPG: 19.1<br>MPG: 36.1<br>FG: 49.8<br>APG: 3.9<br>RPG: 10.5<br>3PT Percentage: 27.9<br>FT Percentage: 79</td></tr></table>","#036c26"
"37",41.4994954,-81.6794088,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Clark Kellogg</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Clark Kellogg+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Cleveland, OH, USA<br>Years: 5<br>PPG: 18.9<br>MPG: 32.7<br>FG: 49.7<br>APG: 2.9<br>RPG: 9.5<br>3PT Percentage: 33.8<br>FT Percentage: 75.7</td></tr></table>","#036c26"
"38",41.5933696,-87.3434271,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Glenn Robinson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Glenn Robinson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Gary, IN, USA<br>Years: 11<br>PPG: 20.7<br>MPG: 36.8<br>FG: 45.9<br>APG: 2.7<br>RPG: 6.1<br>3PT Percentage: 34<br>FT Percentage: 82</td></tr></table>","#036c26"
"39",30.6964406,-88.1733557,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Jeff Malone</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jeff Malone+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Mobile, AL, USA<br>Years: 13<br>PPG: 19<br>MPG: 32.8<br>FG: 48.4<br>APG: 2.4<br>RPG: 2.6<br>3PT Percentage: 26.8<br>FT Percentage: 87.1</td></tr></table>","#036c26"
"40",-37.814107,144.98428,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kyrie Irving</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kyrie Irving+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Melbourne, Australia<br>Years: 2<br>PPG: 20.6<br>MPG: 32.8<br>FG: 45.9<br>APG: 5.7<br>RPG: 3.7<br>3PT Percentage: 39.4<br>FT Percentage: 86.2</td></tr></table>","#036c26"
"41",39.3331197,-82.9824019,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Neil Johnston</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Neil Johnston+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Chillicothe, OH, USA<br>Years: 8<br>PPG: 19.4<br>MPG: 35.5<br>FG: 44.4<br>APG: 2.5<br>RPG: 11.3<br>3PT Percentage: NA<br>FT Percentage: 76.8</td></tr></table>","#036c26"
