player,agency,agent,season,salary,salary_amnesty,,player
Gordon Hayward,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,4677708,FALSE,,
Gorgui Dieng,Wasserman Media Group,Arn Tellem,2014-2015,1413480,FALSE,,
Greg Monroe,FAME,David Falk,2014-2015,5479933,FALSE,,
Greg Oden,BDA Sports Management,Mike Conley,2014-2015,0,FALSE,,
Greg Smith,Impact Sports Basketball,Brian Elfus,2014-2015,0,FALSE,,
Greg Stiemsma,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Greivis Vasquez,Wasserman Media Group,Arn Tellem,2014-2015,3203780,FALSE,,
Gustavo Ayon,Duran International Sports Management,Emilio Duran,2014-2015,0,FALSE,,
Hamed Haddadi,Pinnacle Management Corporation,Marc Cornstein,2014-2015,0,FALSE,,
Harrison Barnes,24/7 Sports Management,Jeff Wechsler,2014-2015,3049920,FALSE,,
Hidayet Turkoglu,Williams & Connolly,Jim Tanner,2014-2015,0,FALSE,,
Ian Mahinmi,Comsport,Bouna Ndiaye,2014-2015,4000000,FALSE,,
Iman Shumpert,Relativity Sports,Dan Fegan,2014-2015,2761113,FALSE,,
Isaiah Canaan,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,816482,FALSE,,
Isaiah Thomas,ASM Sports,Andy Miller,2014-2015,0,FALSE,,
Ishmael Smith,IAM Sports,Raymond Brothers,2014-2015,985000,FALSE,,
J.J. Hickson,ASM Sports,Andy Miller,2014-2015,5381750,FALSE,,
J.J. Redick,Wasserman Media Group,Arn Tellem,2014-2015,6792500,FALSE,,
J.R. Smith,Creative Artists Agency,Leon Rose,2014-2015,TBD,FALSE,,
Jae Crowder,Alliance Sports Management,Glenn Schwartzman,2014-2015,0,FALSE,,
Jamaal Franklin,Impact Sports Basketball,Brian Elfus,2014-2015,816482,FALSE,,
Jamal Crawford,ASM Sports,Andy Miller,2014-2015,5450000,FALSE,,
James Anderson,ASM Sports,Andy Miller,2014-2015,0,FALSE,,
James Harden,Landmark Sports Agency,Rob Pelinka,2014-2015,14693906,FALSE,,
James Johnson,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
James Jones,Bell Management,Joel Bell,2014-2015,0,FALSE,,
James Southerland,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,TBD,FALSE,,
Jan Vesely,Wasserman Media Group,Arn Tellem,2014-2015,4469547,FALSE,,
Jannero Pargo,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Jared Cunningham,Excel Sports Management,Jeff Schwartz,2014-2015,1260360,FALSE,,
Jared Dudley,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,4250000,FALSE,,
Jared Sullinger,FAME,David Falk,2014-2015,1424520,FALSE,,
Jarrett Jack,Excel Sports Management,Jeff Schwartz,2014-2015,6300000,FALSE,,
Jarvis Varnado,Impact Sports Basketball,Mitch Frankel,2014-2015,1115243,FALSE,,
Jason Maxiell,ASM Sports,Andy Miller,2014-2015,2500000,FALSE,,
Jason Richardson,Relativity Sports,Dan Fegan,2014-2015,6601125,FALSE,,
Jason Smith,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Jason Terry,Wasserman Media Group,Arn Tellem,2014-2015,5450000,FALSE,,
Jason Thompson,Creative Artists Agency,Leon Rose,2014-2015,6037500,FALSE,,
JaVale McGee,Wasserman Media Group,BJ Armstrong,2014-2015,11250000,FALSE,,
Jeff Adrien,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Jeff Ayres,Impact Sports Basketball,Mitch Frankel,2014-2015,1828750,FALSE,,
Jeff Green,FAME,David Falk,2014-2015,9200000,FALSE,,
Jeff Teague,ASM Sports,Andy Miller,2014-2015,8000000,FALSE,,
Jeff Withey,Wasserman Media Group,Arn Tellem,2014-2015,816482,FALSE,,
Jeffery Taylor,BDA Sports Management,Todd Ramasar,2014-2015,915243,FALSE,,
Jeremy Evans,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,1795000,FALSE,,
Jeremy Lamb,Excel Sports Management,Jeff Schwartz,2014-2015,2202000,FALSE,,
Jeremy Lin,Williams & Connolly,Jim Tanner,2014-2015,14898938,FALSE,,
Jeremy Tyler,Wasserman Media Group,Arn Tellem,2014-2015,TBD,FALSE,,
Jermaine O'Neal,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Jerryd Bayless,Excel Sports Management,Jeff Schwartz,2014-2015,0,FALSE,,
Jimmer Fredette,Octagon Athlete Representation,Chris Emens,2014-2015,3282003,FALSE,,
Jimmy Butler,Relativity Sports,Dan Fegan,2014-2015,2119214,FALSE,,
Joakim Noah,BDA Sports Management,Bill Duffy,2014-2015,13150000,FALSE,,
Jodie Meeks,Lagardere Unlimited,David Bauman,2014-2015,0,FALSE,,
Joe Johnson,Wasserman Media Group,Arn Tellem,2014-2015,23180790,FALSE,,
Joel Anthony,Excel Sports Management,Mike Higgins,2014-2015,3800000,FALSE,,
Joel Freeland,Elite Sports,Rafael Calvo,2014-2015,3100000,FALSE,,
John Henson,Williams & Connolly,Jim Tanner,2014-2015,1987320,FALSE,,
John Jenkins,BDA Sports Management,Bill Duffy,2014-2015,1312920,FALSE,,
John Lucas,Lee Basketball Services LTD,Bernie Lee,2014-2015,1600000,FALSE,,
John Salmons,Bell Management,Joel Bell,2014-2015,7000000,FALSE,,
John Wall,Relativity Sports,Dan Fegan,2014-2015,13701250,FALSE,,
Jon Leuer,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,967500,FALSE,,
Jonas Jerebko,The Neustadt Group,Doug Neustadt,2014-2015,4500000,FALSE,,
Jonas Valanciunas,Creative Artists Agency,Leon Rose,2014-2015,3678360,FALSE,,
Jordan Crawford,Creative Artists Agency,Aaron Mintz,2014-2015,3206866,FALSE,,
Jordan Farmar,Rival Sports Group,Tony Dutt,2014-2015,0,FALSE,,
Jordan Hamilton,Premier Sports,Gregory Nunn,2014-2015,2225478,FALSE,,
Jordan Henriquez,Premier Sports,Gregory Nunn,2014-2015,0,FALSE,,
Jordan Hill,BDA Sports Management,Kevin Bradbury,2014-2015,0,FALSE,,
Jose Juan Barea,Relativity Sports,Dan Fegan,2014-2015,4519500,FALSE,,
Jose Calderon,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,7097191,FALSE,,
Josh Childress,Octagon Athlete Representation,Jeff Austin,2014-2015,7317500,TRUE,,
Josh Childress,Octagon Athlete Representation,Jeff Austin,2014-2015,0,FALSE,,
Josh Harrellson,United Sports and Entertainment Group,Merle Scott,2014-2015,948163,FALSE,,
Josh McRoberts,BDA Sports Management,Mike Conley,2014-2015,2771340,FALSE,,
Josh Smith,Perennial,Wallace Prather,2014-2015,14000000,FALSE,,
Jrue Holiday,Rival Sports Group,Tony Dutt,2014-2015,11000000,FALSE,,
Kawhi Leonard,Impact Sports Basketball,Brian Elfus,2014-2015,3053368,FALSE,,
Kelly Olynyk,Wasserman Media Group,Arn Tellem,2014-2015,2075760,FALSE,,
Kemba Walker,Excel Sports Management,Jeff Schwartz,2014-2015,3452183,FALSE,,
Kendall Marshall,Octagon Athlete Representation,Jeff Austin,2014-2015,2091840,FALSE,,
Kendrick Perkins,Wasserman Media Group,Arn Tellem,2014-2015,9154342,FALSE,,
Kenneth Faried,Wasserman Media Group,Arn Tellem,2014-2015,2373537,FALSE,,
Kent Bazemore,Walton Sports,Austin Walton,2014-2015,0,FALSE,,
Kentavious Caldwell-Pope,Wasserman Media Group,Thaddeus Foucher,2014-2015,2772480,FALSE,,
Kenyon Martin,ASM Sports,Andy Miller,2014-2015,0,FALSE,,
Kevin Durant,Roc Nation Sports,Juan Perez,2014-2015,19997513,FALSE,,
Kevin Garnett,ASM Sports,Andy Miller,2014-2015,12000000,FALSE,,
Kevin Love,Excel Sports Management,Jeff Schwartz,2014-2015,15719063,FALSE,,
Kevin Martin,Relativity Sports,Dan Fegan,2014-2015,6792500,FALSE,,
Kevin Seraphin,Klutch Sports Management,Rich Paul,2014-2015,3898691,FALSE,,
Khris Middleton,Excel Sports Management,Michael Lindeman,2014-2015,915243,FALSE,,
Kirk Hinrich,Octagon Athlete Representation,Jeff Austin,2014-2015,0,FALSE,,
Klay Thompson,BDA Sports Management,Bill Duffy,2014-2015,4469547,FALSE,,
Kobe Bryant,Landmark Sports Agency,Rob Pelinka,2014-2015,0,FALSE,,
Kosta Koufos,Mark Termini Associates,Mark Termini,2014-2015,3000000,FALSE,,
Kris Humphries,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Kris Joseph,CGL Sports,Chris Grier Luchey,2014-2015,0,FALSE,,
Kwame Brown,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Kyle Korver,Excel Sports Management,Jeff Schwartz,2014-2015,6253521,FALSE,,
Kyle Lowry,ASM Sports,Andy Miller,2014-2015,0,FALSE,,
Kyle Singler,Wasserman Media Group,Arn Tellem,2014-2015,1090000,FALSE,,
Kyrie Irving,24/7 Sports Management,Jeff Wechsler,2014-2015,7459924,FALSE,,
LaMarcus Aldridge,Wasserman Media Group,Arn Tellem,2014-2015,15200000,FALSE,,
Lance Thomas,540 Sports and Entertainment LLC,John Spencer,2014-2015,948143,FALSE,,
Landry Fields,Octagon Athlete Representation,Chris Emens,2014-2015,8500000,FALSE,,
Larry Sanders,Relativity Sports,Dan Fegan,2014-2015,11000000,FALSE,,
Lavoy Allen,ASM Sports,Andy Miller,2014-2015,0,FALSE,,
LeBron James,Klutch Sports Management,Rich Paul,2014-2015,20590000,FALSE,,
Linas Kleiza,BDA Sports Management,Rade Filipovich,2014-2015,0,FALSE,,
Louis Amundson,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,TBD,FALSE,,
Louis Williams,Creative Artists Agency,Leon Rose,2014-2015,5450000,FALSE,,
Luc Mbah A Moute,Excel Sports Management,Jeff Schwartz,2014-2015,4382576,FALSE,,
Luis Scola,AAI Sports,George Bass,2014-2015,6541037,TRUE,,
Luis Scola,AAI Sports,George Bass,2014-2015,4500000,FALSE,,
Luke Ridnour,Williams & Connolly,Jim Tanner,2014-2015,0,FALSE,,
Luol Deng,Interperformances,Herb Rudoy,2014-2015,0,FALSE,,
Maalik Wayns,ASM Sports,Andy Miller,2014-2015,1115243,FALSE,,
Malcolm Lee,Impact Sports Basketball,Mitch Frankel,2014-2015,0,FALSE,,
Manu Ginobili,Interperformances,Herb Rudoy,2014-2015,7000000,FALSE,,
Marc Gasol,Wasserman Media Group,Arn Tellem,2014-2015,15829688,FALSE,,
Marcin Gortat,Zucker International,Guy Zucker,2014-2015,0,FALSE,,
Marco Belinelli,Excel Sports Management,Jeff Schwartz,2014-2015,2873750,FALSE,,
Marcus Morris,Rival Sports Group,Tony Dutt,2014-2015,3105301,FALSE,,
Marcus Thornton,Rival Sports Group,Tony Dutt,2014-2015,8697500,FALSE,,
Mario Chalmers,Excel Sports Management,Jeff Schwartz,2014-2015,0,FALSE,,
Markieff Morris,Rival Sports Group,Tony Dutt,2014-2015,3153860,FALSE,,
Marquis Teague,ASM Sports,Andy Miller,2014-2015,1120920,FALSE,,
Marreese Speights,ASM Sports,Andy Miller,2014-2015,3657500,FALSE,,
MarShon Brooks,Verus Management Team,Seth Cohen,2014-2015,2299084,FALSE,,
Martell Webster,Relativity Sports,Dan Fegan,2014-2015,TBD,FALSE,,
Marvin Williams,Williams & Connolly,Jim Tanner,2014-2015,0,FALSE,,
Mason Plumlee,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,1357080,FALSE,,
Matt Barnes,Goodwin Management Group,Aaron Goodwin,2014-2015,TBD,FALSE,,
Matt Bonner,Championship Sports,Kenny Grant,2014-2015,0,FALSE,,
Mo Williams,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,2771340,FALSE,,
Metta World Peace,Pinnacle Management Corporation,Marc Cornstein,2014-2015,0,FALSE,,
Metta World Peace,Pinnacle Management Corporation,Marc Cornstein,2014-2015,1661550,FALSE,,
Meyers Leonard,Excel Sports Management,Jeff Schwartz,2014-2015,2317920,FALSE,,
Michael Beasley,Excel Sports Management,Jeff Schwartz,2014-2015,6250000,TRUE,,
Michael Beasley,Excel Sports Management,Jeff Schwartz,2014-2015,,FALSE,,
Michael Carter-Williams,Excel Sports Management,Jeff Schwartz,2014-2015,2300040,FALSE,,
Michael Kidd-Gilchrist,Creative Artists Agency,Leon Rose,2014-2015,5016960,FALSE,,
Mike Conley,BDA Sports Management,Mike Conley,2014-2015,8760000,FALSE,,
Mike Dunleavy Jr,Wasserman Media Group,Arn Tellem,2014-2015,3000000,FALSE,,
Mike James,Lee Basketball Services LTD,Bernie Lee,2014-2015,0,FALSE,,
Mike Miller,Wasserman Media Group,Arn Tellem,2014-2015,6600000,TRUE,,
Mike Miller,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Mike Scott,Creative Artists Agency,Aaron Mintz,2014-2015,0,FALSE,,
Miles Plumlee,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,1169880,FALSE,,
Mirza Teletovic,Excel Sports Management,Jeff Schwartz,2014-2015,3368100,FALSE,,
Maurice Harkless,Relativity Sports,Dan Fegan,2014-2015,1887840,FALSE,,
Monta Ellis,Relativity Sports,Happy Walters,2014-2015,8720000,FALSE,,
Nando De Colo,Creative Artists Agency,Steve Heumann,2014-2015,0,FALSE,,
Nate Robinson,Goodwin Management Group,Aaron Goodwin,2014-2015,TBD,FALSE,,
Nate Wolters,Allegiant Athletic Agency,Jared Karnes,2014-2015,TBD,FALSE,,
Nazr Mohammed,Excel Sports Management,Mike Higgins,2014-2015,0,FALSE,,
Nemanja Nedovic,Excel Sports Management,Jeff Schwartz,2014-2015,1104240,FALSE,,
Nene,Relativity Sports,Dan Fegan,2014-2015,13000000,FALSE,,
Nerlens Noel,ASM Sports,Andy Miller,2014-2015,3315120,FALSE,,
Nick Calathes,Relativity Sports,Dan Fegan,2014-2015,TBD,FALSE,,
Nick Collison,Excel Sports Management,Mike Higgins,2014-2015,2242003,FALSE,,
Nick Young,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,1227985,FALSE,,
Nicolas Batum,Comsport,Bouna Ndiaye,2014-2015,11390500,FALSE,,
Nikola Pekovic,Excel Sports Management,Jeff Schwartz,2014-2015,12100000,FALSE,,
Nikola Vucevic,BDA Sports Management,Rade Filipovich,2014-2015,2902757,FALSE,,
Norris Cole,Bell Management,Joel Bell,2014-2015,2150188,FALSE,,
O.J. Mayo,Landmark Sports Agency,Rob Pelinka,2014-2015,8000000,FALSE,,
Omer Asik,ASM Sports,Andy Miller,2014-2015,14898938,FALSE,,
Omri Casspi,Creative Artists Agency,Steve Heumann,2014-2015,0,FALSE,,
Orlando Johnson,BDA Sports Management,Bill Duffy,2014-2015,915243,FALSE,,
Otto Porter,FAME,David Falk,2014-2015,4470480,FALSE,,
Pablo Prigioni,AAI Sports,George Bass,2014-2015,1662961,FALSE,,
Patrick Christopher,Relativity Sports,Chris Patrick,2014-2015,0,FALSE,,
Patrick Mills,Creative Artists Agency,Steve Heumann,2014-2015,0,FALSE,,
Patrick Patterson,Excel Sports Management,Sam Goldfeder,2014-2015,4319473,FALSE,,
Pau Gasol,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Paul George,Creative Artists Agency,Aaron Mintz,2014-2015,0,FALSE,,
Paul Millsap,BDS Sports,DeAngelo Simmons,2014-2015,9500000,FALSE,,
Paul Pierce,Excel Sports Management,Jeff Schwartz,2014-2015,0,FALSE,,
Pero Antic,Excel Sports Management,Michael Lindeman,2014-2015,1250000,FALSE,,
Perry Jones,BDA Sports Management,Bill Duffy,2014-2015,1129200,FALSE,,
Peyton Siva,ASM Sports,Andy Miller,2014-2015,816482,FALSE,,
Phil Pressey,Creative Artists Agency,Aaron Mintz,2014-2015,TBD,FALSE,,
Quentin Richardson,24/7 Sports Management,Jeff Wechsler,2014-2015,0,FALSE,,
Quincy Acy,Athlete Management,Michael Silverman,2014-2015,915243,FALSE,,
Quincy Pondexter,Wasserman Media Group,Arn Tellem,2014-2015,3284805,FALSE,,
Rajon Rondo,BDA Sports Management,Bill Duffy,2014-2015,13000000,FALSE,,
Ramon Sessions,Allegiant Athletic Agency,Jared Karnes,2014-2015,0,FALSE,,
Randy Foye,Creative Artists Agency,Steve Heumann,2014-2015,TBD,FALSE,,
Rashard Lewis,Rival Sports Group,Tony Dutt,2014-2015,0,FALSE,,
Ray Allen,Williams & Connolly,Jim Tanner,2014-2015,0,FALSE,,
Ray McCallum,Wasserman Media Group,Thaddeus Foucher,2014-2015,816482,FALSE,,
Raymond Felton,Rival Sports Group,Colin Bryant,2014-2015,4360000,FALSE,,
Reggie Bullock,Excel Sports Management,Jeff Schwartz,2014-2015,1200720,FALSE,,
Reggie Evans,ASM Sports,Andy Miller,2014-2015,1768654,FALSE,,
Reggie Jackson,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,2325680,FALSE,,
Richard Hamilton,Creative Artists Agency,Leon Rose,2014-2015,0,FALSE,,
Richard Howell,ASM Sports,Andy Miller,2014-2015,TBD,FALSE,,
Richard Jefferson,Stratosphere Sports,Todd Eley,2014-2015,0,FALSE,,
Ricky Ledo,Verus Management Team,Seth Cohen,2014-2015,816482,FALSE,,
Ricky Rubio,Relativity Sports,Dan Fegan,2014-2015,5070686,FALSE,,
Robert Covington,Relativity Sports,Happy Walters,2014-2015,816482,FALSE,,
Robert Sacre,Edge Sports,Keith Kreiter,2014-2015,915243,FALSE,,
Robin Lopez,Wasserman Media Group,Arn Tellem,2014-2015,5340229,FALSE,,
Rodney Stuckey,Creative Artists Agency,Leon Rose,2014-2015,0,FALSE,,
Rodney Williams,BDA Sports Management,Kevin Bradbury,2014-2015,0,FALSE,,
Roger Mason,ASM Sports,Andy Miller,2014-2015,0,FALSE,,
Romero Osby,Relativity Sports,Happy Walters,2014-2015,0,FALSE,,
Ron Howard,Lee Basketball Services LTD,Bernie Lee,2014-2015,0,FALSE,,
Ronnie Brewer,Creative Artists Agency,Henry Thomas,2014-2015,0,FALSE,,
Ronnie Price,Excel Sports Management,Mike Higgins,2014-2015,0,FALSE,,
Ronny Turiaf,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,1600000,FALSE,,
Roy Hibbert,FAME,David Falk,2014-2015,14898938,FALSE,,
Royce White,ASM Sports,Andy Miller,2014-2015,1793520,FALSE,,
Rudy Gay,Octagon Athlete Representation,Jeff Austin,2014-2015,19317326,FALSE,,
Rudy Gobert,Comsport,Bouna Ndiaye,2014-2015,1127400,FALSE,,
Russell Westbrook,Wasserman Media Group,Arn Tellem,2014-2015,15719062,FALSE,,
Ryan Anderson,Octagon Athlete Representation,Jeff Austin,2014-2015,8491500,FALSE,,
Ryan Gomes,Wasserman Media Group,Dan Tobin,2014-2015,0,FALSE,,
Ryan Hollins,BDA Sports Management,Todd Ramasar,2014-2015,0,FALSE,,
Ryan Kelly,Octagon Athlete Representation,Alex Saratsis,2014-2015,0,FALSE,,
Samuel Dalembert,Pinnacle Management Corporation,Marc Cornstein,2014-2015,TBD,FALSE,,
Scott Machado,Relativity Sports,Dan Fegan,2014-2015,TBD,FALSE,,
Serge Ibaka,ASM Sports,Andy Miller,2014-2015,12250000,FALSE,,
Sergey Karasev,ASM Sports,Andy Miller,2014-2015,1533840,FALSE,,
Seth Curry,Octagon Athlete Representation,Alex Saratsis,2014-2015,TBD,FALSE,,
Shabazz Muhammad,BDA Sports Management,Bill Duffy,2014-2015,1971960,FALSE,,
Shane Battier,Williams & Connolly,Jim Tanner,2014-2015,0,FALSE,,
Shane Larkin,Relativity Sports,Happy Walters,2014-2015,1606080,FALSE,,
Shannon Brown,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Shaun Livingston,Creative Artists Agency,Henry Thomas,2014-2015,0,FALSE,,
Shawn Marion,Relativity Sports,Dan Fegan,2014-2015,0,FALSE,,
Shawne Williams,Relativity Sports,Dan Fegan,2014-2015,0,FALSE,,
Shelvin Mack,The Neustadt Group,Doug Neustadt,2014-2015,1148163,FALSE,,
Solomon Hill,Octagon Athlete Representation,Chris Emens,2014-2015,1302840,FALSE,,
Solomon Jones,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Spencer Hawes,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Stephen Curry,Octagon Athlete Representation,Jeff Austin,2014-2015,10629213,FALSE,,
Steve Blake,Bell Management,Joel Bell,2014-2015,0,FALSE,,
Steve Nash,BDA Sports Management,Bill Duffy,2014-2015,9701000,FALSE,,
Steve Novak,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,3445947,FALSE,,
Steven Adams,Wasserman Media Group,Arn Tellem,2014-2015,2184960,FALSE,,
Taj Gibson,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,8000000,FALSE,,
Tayshaun Prince,BDA Sports Management,Bill Duffy,2014-2015,7707865,FALSE,,
Terrel Harris,Impact Sports Basketball,Brian Elfus,2014-2015,1148163,FALSE,,
Terrence Jones,Wasserman Media Group,Arn Tellem,2014-2015,1618680,FALSE,,
Terrence Ross,Creative Artists Agency,Aaron Mintz,2014-2015,2793960,FALSE,,
Thabo Sefolosha,Zucker International,Guy Zucker,2014-2015,0,FALSE,,
Thaddeus Young,Williams & Connolly,Jim Tanner,2014-2015,9160870,FALSE,,
Thomas Robinson,BDA Sports Management,Bill Duffy,2014-2015,3678360,FALSE,,
Tiago Splitter,Wasserman Media Group,Arn Tellem,2014-2015,9250000,FALSE,,
Tim Duncan,Williams & Connolly,Jim Tanner,2014-2015,10361446,FALSE,,
Tim Hardaway Jr,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,1250640,FALSE,,
Timofey Mozgov,ASM Sports,Andy Miller,2014-2015,4650000,FALSE,,
Tobias Harris,Creative Artists Agency,Henry Thomas,2014-2015,2511432,FALSE,,
Toney Douglas,FAME,David Falk,2014-2015,0,FALSE,,
Tony Allen,IAM Sports,Raymond Brothers,2014-2015,5000000,FALSE,,
Tony Mitchell,Wasserman Media Group,Arn Tellem,2014-2015,816482,FALSE,,
Tony Parker,Creative Artists Agency,Steve Heumann,2014-2015,12500000,FALSE,,
Tony Snell,Lagardere Unlimited,Mitchell Butler,2014-2015,1472400,FALSE,,
Tony Wroten,Wasserman Media Group,Greg Lawrence,2014-2015,1210080,FALSE,,
Tornike Shengelia,Zucker International,Guy Zucker,2014-2015,0,FALSE,,
Toure Murry,Lee Basketball Services LTD,Bernie Lee,2014-2015,0,FALSE,,
Travis Outlaw,BDA Sports Management,Bill Duffy,2014-2015,4000000,TRUE,,
Travis Outlaw,BDA Sports Management,Bill Duffy,2014-2015,3000000,FALSE,,
Trent Lockett,CGL Sports,Chris Grier Luchey,2014-2015,TBD,FALSE,,
Trevor Ariza,David Lee Services,David Lee,2014-2015,0,FALSE,,
Trevor Booker,ASM Sports,Andy Miller,2014-2015,3420443,FALSE,,
Tristan Thompson,Klutch Sports Management,Rich Paul,2014-2015,5421233,FALSE,,
Ty Lawson,Relativity Sports,Happy Walters,2014-2015,11595506,FALSE,,
Tyler Hansbrough,Excel Sports Management,Jeff Schwartz,2014-2015,3326235,FALSE,,
Tyler Zeller,Excel Sports Management,Jeff Schwartz,2014-2015,1703760,FALSE,,
Tyreke Evans,Wasserman Media Group,Arn Tellem,2014-2015,11265416,FALSE,,
Tyrus Thomas,Performance Sports Management,John Hamilton,2014-2015,9388430,TRUE,,
Tyshawn Taylor,Excel Sports Management,Mike Higgins,2014-2015,0,FALSE,,
Tyson Chandler,Excel Sports Management,Jeff Schwartz,2014-2015,14596888,FALSE,,
Udonis Haslem,Creative Artists Agency,Henry Thomas,2014-2015,4620000,FALSE,,
Vander Blue,Wasserman Media Group,Makhtar Ndiaye,2014-2015,0,FALSE,,
Victor Oladipo,IAM Sports,Raymond Brothers,2014-2015,4978200,FALSE,,
Vince Carter,IMG,Kurt Schoeppler,2014-2015,0,FALSE,,
Vitor Faverani,Interperformances,Herb Rudoy,2014-2015,TBD,FALSE,,
Vyacheslav Kravtsov,Excel Sports Management,Jeff Schwartz,2014-2015,0,FALSE,,
Wayne Ellington,Wasserman Media Group,Arn Tellem,2014-2015,2500000,FALSE,,
Wesley Johnson,Landmark Sports Agency,Rob Pelinka,2014-2015,0,FALSE,,
Wesley Matthews,Octagon Athlete Representation,Jeff Austin,2014-2015,7245640,FALSE,,
Will Barton,Impact Sports Basketball,Brian Elfus,2014-2015,915243,FALSE,,
Will Bynum,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,2915908,FALSE,,
Wilson Chandler,Relativity Sports,Dan Fegan,2014-2015,6754913,FALSE,,
Xavier Henry,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Zach Randolph,IAM Sports,Raymond Brothers,2014-2015,16500000,FALSE,,
Zaza Pachulia,Williams & Connolly,Jim Tanner,2014-2015,5200000,FALSE,,
Aaron Brooks,Creative Artists Agency,Leon Rose,2015-2016,0,FALSE,,
Aaron Gray,ASM Sports,Andy Miller,2015-2016,0,FALSE,,
Adonis Thomas,Relativity Sports,Happy Walters,2015-2016,0,FALSE,,
Al Harrington,Relativity Sports,Dan Fegan,2015-2016,0,FALSE,,
Al Horford,Wasserman Media Group,Arn Tellem,2015-2016,12000000,FALSE,,
Al Jefferson,Excel Sports Management,Jeff Schwartz,2015-2016,13500000,FALSE,,
Al-Farouq Aminu,IAM Sports,Raymond Brothers,2015-2016,0,FALSE,,
Alan Anderson,Priority Sports & Entertainment,Mark Bartelstein,2015-2016,0,FALSE,,
Alec Burks,ASM Sports,Andy Miller,2015-2016,4405083,FALSE,,
Aleksandar Pavlovic,Relativity Sports,Dan Fegan,2015-2016,0,FALSE,,
Alexey Shved,Alti Sport,Obrad Fimic,2015-2016,3998408,FALSE,,
Allen Crabbe,Excel Sports Management,Sam Goldfeder,2015-2016,947276,FALSE,,
Alonzo Gee,Relativity Sports,Happy Walters,2015-2016,0,FALSE,,
Amare Stoudemire,Relativity Sports,Dan Fegan,2015-2016,0,FALSE,,
Amir Johnson,BDA Sports Management,Kevin Bradbury,2015-2016,0,FALSE,,
Anderson Varejao,Relativity Sports,Dan Fegan,2015-2016,0,FALSE,,
Andray Blatche,ASM Sports,Andy Miller,2015-2016,0,FALSE,,
Andray Blatche,ASM Sports,Andy Miller,2015-2016,0,FALSE,,
Andre Drummond,Landmark Sports Agency,Rob Pelinka,2015-2016,3272090,FALSE,,
Andre Iguodala,Landmark Sports Agency,Rob Pelinka,2015-2016,11710456,FALSE,,
Andre Miller,ASM Sports,Andy Miller,2015-2016,0,FALSE,,
Andre Roberson,BDA Sports Management,Bill Duffy,2015-2016,807200,FALSE,,
Andrea Bargnani,Creative Artists Agency,Leon Rose,2015-2016,0,FALSE,,
Andrew Bogut,Lagardere Unlimited,David Bauman,2015-2016,0,FALSE,,
Andrew Bynum,David Lee Services,David Lee,2015-2016,TBD,FALSE,,
Andrew Nicholson,Priority Sports & Entertainment,Mark Bartelstein,2015-2016,2380593,FALSE,,
Andris Biedrins,BDA Sports Management,Bill Duffy,2015-2016,0,FALSE,,
Antawn Jamison,Wasserman Media Group,Arn Tellem,2015-2016,0,FALSE,,
Anthony Bennett,Excel Sports Management,Jeff Schwartz,2015-2016,5803560,FALSE,,
Anthony Davis,Wasserman Media Group,Arn Tellem,2015-2016,7070729,FALSE,,
Anthony Morrow,Perennial,Wallace Prather,2015-2016,0,FALSE,,
Anthony Randolph,BDA Sports Management,Bill Duffy,2015-2016,0,FALSE,,
Anthony Tolliver,Lee Basketball Services LTD,Larry Fox,2015-2016,0,FALSE,,
Archie Goodwin,Briscoe Sports Management,Charlie Briscoe,2015-2016,1160160,FALSE,,
