player,agency,agent,season,salary,salary_amnesty,,player
Chris Kaman,Landmark Sports Agency,Rob Pelinka,2013-2014,3183000,FALSE,,
Chris Paul,Creative Artists Agency,Leon Rose,2013-2014,18668431,FALSE,,
Chris Singleton,BDA Sports Management,Bill Duffy,2013-2014,1707720,FALSE,,
Chuck Hayes,BDA Sports Management,Bill Duffy,2013-2014,5722500,FALSE,,
Cody Zeller,Excel Sports Management,Jeff Schwartz,2013-2014,3857040,FALSE,,
Cole Aldrich,Excel Sports Management,Jeff Schwartz,2013-2014,TBD,FALSE,,
Corey Brewer,Relativity Sports,Dan Fegan,2013-2014,4500000,FALSE,,
Cory Joseph,Klutch Sports Management,Rich Paul,2013-2014,1182600,FALSE,,
Courtney Lee,Relativity Sports,Dan Fegan,2013-2014,5225000,FALSE,,
D.J. Augustin,IAM Sports,Raymond Brothers,2013-2014,1267000,FALSE,,
Damian Lillard,Goodwin Management Group,Aaron Goodwin,2013-2014,3202920,FALSE,,
Damien Wilkins,Perennial,Wallace Prather,2013-2014,1272279,FALSE,,
Daniel Orton,Vartanian Sports Management,Ara Vartanian,2013-2014,916099,FALSE,,
Danilo Gallinari,Wasserman Media Group,Arn Tellem,2013-2014,10146925,FALSE,,
Danny Granger,Creative Artists Agency,Aaron Mintz,2013-2014,14021788,FALSE,,
Dante Cunningham,Bell Management,Joel Bell,2013-2014,2180000,FALSE,,
Darius Johnson-Odom,Octagon Athlete Representation,Chris Emens,2013-2014,788872,FALSE,,
Darius Morris,Shibumi Sports,Brian Dyke,2013-2014,788872,FALSE,,
Darrell Arthur,Independent,Jerry Hicks,2013-2014,3231683,FALSE,,
Darren Collison,BDA Sports Management,Rade Filipovich,2013-2014,1900000,FALSE,,
David Lee,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,13878000,FALSE,,
David West,Octagon Athlete Representation,Jeff Austin,2013-2014,12000000,FALSE,,
DeAndre Jordan,Wasserman Media Group,Arn Tellem,2013-2014,10986550,FALSE,,
Dee Bost,540 Sports and Entertainment LLC,John Spencer,2013-2014,490180,FALSE,,
DeJuan Blair,Relativity Sports,Dan Fegan,2013-2014,941000,FALSE,,
DeMar Derozan,Goodwin Management Group,Aaron Goodwin,2013-2014,9500000,FALSE,,
DeMarcus Cousins,Relativity Sports,Dan Fegan,2013-2014,4916973,FALSE,,
DeMarre Carroll,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,2500000,FALSE,,
Dennis Schroder,Octagon Athlete Representation,Jeff Austin,2013-2014,1617840,FALSE,,
Derek Fisher,Landmark Sports Agency,Rob Pelinka,2013-2014,1399507,FALSE,,
Deron Williams,Excel Sports Management,Jeff Schwartz,2013-2014,18466130,FALSE,,
Derrick Favors,Perennial,Wallace Prather,2013-2014,6008106,FALSE,,
Derrick Rose,Wasserman Media Group,Arn Tellem,2013-2014,17632688,FALSE,,
Derrick Williams,Landmark Sports Agency,Rob Pelinka,2013-2014,5293080,FALSE,,
DeShawn Stevenson,Wasserman Media Group,Arn Tellem,2013-2014,2240450,FALSE,,
Devin Ebanks,Lagardere Unlimited,David Bauman,2013-2014,TBD,FALSE,,
Devin Harris,Excel Sports Management,Jeff Schwartz,2013-2014,1272279,FALSE,,
Diante Garrett,Wasserman Media Group,Arn Tellem,2013-2014,788872,FALSE,,
Dion Waiters,Landmark Sports Agency,Rob Pelinka,2013-2014,3894240,FALSE,,
Dominic McGuire,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,TBD,FALSE,,
Donald Sloan,Impact Sports Basketball,Brian Elfus,2013-2014,884293,FALSE,,
Donatas Motiejunas,Wasserman Media Group,Arn Tellem,2013-2014,1422720,FALSE,,
Dorell Wright,Wasserman Media Group,Arn Tellem,2013-2014,3000000,FALSE,,
Doron Lamb,Wasserman Media Group,Arn Tellem,2013-2014,788872,FALSE,,
Drew Gooden,Relativity Sports,Dan Fegan,2013-2014,6680000,TRUE,,
Dwight Buycks,Relativity Sports,Chris Patrick,2013-2014,700000,FALSE,,
Dwight Howard,Relativity Sports,Dan Fegan,2013-2014,20513178,FALSE,,
Dwyane Wade,Creative Artists Agency,Henry Thomas,2013-2014,18536000,FALSE,,
E'Twaun Moore,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,884293,FALSE,,
Earl Clark,BDA Sports Management,Kevin Bradbury,2013-2014,4250000,FALSE,,
Earl Watson,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1399507,FALSE,,
Ed Davis,Landmark Sports Agency,Rob Pelinka,2013-2014,3153860,FALSE,,
EJ Singler,Wasserman Media Group,Greg Lawrence,2013-2014,TBD,FALSE,,
Ekpe Udoh,CGL Sports,Chris Grier Luchey,2013-2014,4469547,FALSE,,
Elias Harris,Priority Sports & Entertainment,Brad Ames,2013-2014,490180,FALSE,,
Elton Brand,FAME,David Falk,2013-2014,4000000,FALSE,,
Emeka Okafor,Excel Sports Management,Jeff Schwartz,2013-2014,14544687,FALSE,,
Enes Kanter,Independent,Max Ergul,2013-2014,4753320,FALSE,,
Eric Bledsoe,Klutch Sports Management,Rich Paul,2013-2014,2626473,FALSE,,
Eric Gordon,Landmark Sports Agency,Rob Pelinka,2013-2014,14283844,FALSE,,
Eric Maynor,ASM Sports,Andy Miller,2013-2014,2016000,FALSE,,
Ersan Ilyasova,ASM Sports,Andy Miller,2013-2014,7900000,FALSE,,
Evan Fournier,Comsport,Bouna Ndiaye,2013-2014,1422720,FALSE,,
